item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-SWL;RV-SWL;RV-SWL;AP7 - AUSOL I;RV-TUNEL;177+307;CA
2;RV-SWS-1CA;RV-SWS-1CA;RV-SWS-1CA;AP7 - AUSOL I;RV-TUNEL;177+307;CA
3;RV-SWS-1MA;RV-SWS-1MA;RV-SWS-1MA;AP7 - AUSOL I;RV-TUNEL;177+307;CA
4;RV-SWE-CA;RV-SWE-CA;RV-SWE-CA;AP7 - AUSOL I;RV-TUNEL;177+307;CA
5;MM-SWL;MM-SWL;MM-SWL;AP7 - AUSOL I;MM-TUNEL;165+612;CA
6;MM-SWS-1CA;MM-SWS-1CA;MM-SWS-1CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
7;MM-SWS-2CA;MM-SWS-2CA;MM-SWS-2CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
8;MM-SWS-3CA;MM-SWS-3CA;MM-SWS-3CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
9;MM-SWG-CA;MM-SWG-CA;MM-SWG-CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
10;MM-SWE-CA;MM-SWE-CA;MM-SWE-CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
11;MM-SWS-1MA;MM-SWS-1MA;MM-SWS-1MA;AP7 - AUSOL I;MM-TUNEL;167+313;MA
12;MM-SWS-2MA;MM-SWS-2MA;MM-SWS-2MA;AP7 - AUSOL I;MM-TUNEL;167+313;MA
13;MM-SWS-3MA;MM-SWS-3MA;MM-SWS-3MA;AP7 - AUSOL I;MM-TUNEL;167+313;MA
14;STMI-SWL;STMI-SWL;STMI-SWL;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
15;STMI-SWS-1CA;STMI-SWS-1CA;STMI-SWS-1CA;AP7 - AUSOL I;STMI-TUNEL;195+629;CA
16;STMI-SWS-1MA;STMI-SWS-1MA;STMI-SWS-1MA;AP7 - AUSOL I;STMI-TUNEL;195+629;MA
17;STMI-SWE-CA;STMI-SWE-CA;STMI-SWE-CA;AP7 - AUSOL I;STMI-TUNEL;195+539;CA
18;COR-SWL-BC;COR-SWL-BC;COR-SWL-BC;AP7 - AUSOL II;COR-TUNEL;151+225;MA
19;COR-SWL-BM;COR-SWL-BM;COR-SWL-BM;AP7 - AUSOL II;COR-TUNEL;152+000;CA
20;COR-SWS-1CA;COR-SWS-1CA;COR-SWS-1CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
21;COR-SWS-2CA;COR-SWS-2CA;COR-SWS-2CA;AP7 - AUSOL II;COR-TUNEL;151+842;CA
22;COR-SWS-3CA;COR-SWS-3CA;COR-SWS-3CA;AP7 - AUSOL II;COR-TUNEL;151+764;CA
23;COR-SWS-4CA;COR-SWS-4CA;COR-SWS-4CA;AP7 - AUSOL II;COR-TUNEL;151+686;CA
24;COR-SWG1-CA;COR-SWG1-CA;COR-SWG1-CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
25;COR-SWG2-MA;COR-SWG2-MA;COR-SWG2-MA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
26;COR-SWG3-CA;COR-SWG3-CA;COR-SWG3-CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
27;COR-SWS-1MA;COR-SWS-1MA;COR-SWS-1MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA
28;COR-SWS-2MA;COR-SWS-2MA;COR-SWS-2MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA
29;COR-SWS-3MA;COR-SWS-3MA;COR-SWS-3MA;AP7 - AUSOL II;COR-TUNEL;151+305;MA
30;COR-SWS-4MA;COR-SWS-4MA;COR-SWS-4MA;AP7 - AUSOL II;COR-TUNEL;151+383;MA
31;LQ-SWS-1CA;LQ-SWS-1CA;LQ-SWS-1CA;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
