"id";"value";"type";"param";"param_type";"protocol_type";"protocol_param_id"
2139;"6x7";2;1002;2;2;1
2140;"4x1";2;1002;2;2;1
2141;"5x4";2;1002;2;2;1
2142;"3x5";2;1002;2;2;1
2143;"4x5";2;1002;2;2;1
2144;"4x5";2;1002;2;2;1
2145;"2x3";2;1002;2;2;1
2146;"3x6";2;1002;2;2;1
2147;"4x7";2;1002;2;2;1
2148;"2x2";2;1002;2;2;1
2149;"2x2";2;1002;2;2;1
2150;"4x5";2;1002;2;2;1
2151;"5x4";2;1002;2;2;1
2152;"5x5";2;1002;2;2;1
2153;"5x7";2;1002;2;2;1
2154;"5x7";2;1002;2;2;1
2155;"5x7";2;1002;2;2;1
2156;"4x7";2;1002;2;2;1
2157;"4x7";2;1002;2;2;1
2158;"4x7";2;1002;2;2;1
2159;"4x7";2;1002;2;2;1
2160;"4x7";2;1002;2;2;1
2161;"4x7";2;1002;2;2;1
2162;"4x7";2;1002;2;2;1
2163;"5x7";2;1002;2;2;1
2164;"4x7";2;1002;2;2;1
2165;"4x7";2;1002;2;2;1
2166;"4x7";2;1002;2;2;1
2167;"4x7";2;1002;2;2;1
2168;"4x7";2;1002;2;2;1
2169;"4x7";2;1002;2;2;1
2170;"4x7";2;1002;2;2;1
2171;"3x7";2;1002;2;2;1
2172;"3x7";2;1002;2;2;1
2173;"5x7";2;1002;2;2;1
2174;"4x7";2;1002;2;2;1
2175;"4x7";2;1002;2;2;1
2176;"4x7";2;1002;2;2;1
2177;"4x7";2;1002;2;2;1
2178;"4x7";2;1002;2;2;1
2179;"4x7";2;1002;2;2;1
2180;"5x5";2;1002;2;2;1
2181;"5x7";2;1002;2;2;1
2182;"4x7";2;1002;2;2;1
2183;"4x7";2;1002;2;2;1
2184;"4x7";2;1002;2;2;1
2185;"4x7";2;1002;2;2;1
2186;"5x7";2;1002;2;2;1
2187;"4x6";2;1002;2;2;1
2188;"4x7";2;1002;2;2;1
2189;"4x7";2;1002;2;2;1
2190;"4x7";2;1002;2;2;1
2191;"4x7";2;1002;2;2;1
2192;"4x7";2;1002;2;2;1
2193;"4x7";2;1002;2;2;1
2194;"4x7";2;1002;2;2;1
2195;"5x5";2;1002;2;2;1
2196;"4x6";2;1002;2;2;1
2197;"4x7";2;1002;2;2;1
2198;"4x7";2;1002;2;2;1
2199;"4x7";2;1002;2;2;1
2200;"4x7";2;1002;2;2;1
2201;"4x7";2;1002;2;2;1
2202;"3x7";2;1002;2;2;1
2203;"3x7";2;1002;2;2;1
2204;"3x7";2;1002;2;2;1
2205;"4x7";2;1002;2;2;1
2206;"4x7";2;1002;2;2;1
2207;"4x7";2;1002;2;2;1
2208;"4x7";2;1002;2;2;1
2209;"4x7";2;1002;2;2;1
2210;"4x6";2;1002;2;2;1
2211;"4x6";2;1002;2;2;1
2212;"3x5";2;1002;2;2;1
2213;"5x5";2;1002;2;2;1
2214;"4x7";2;1002;2;2;1
2215;"4x7";2;1002;2;2;1
2216;"4x7";2;1002;2;2;1
2217;"4x6";2;1002;2;2;1
2218;"4x7";2;1002;2;2;1
2219;"4x7";2;1002;2;2;1
2220;"4x7";2;1002;2;2;1
2221;"1x1";2;1002;2;2;1
2000;"CH0014";2;1002;2;2;2
2001;"CH0015";2;1002;2;2;2
2002;"CH001E";2;1002;2;2;2
2003;"CH001F";2;1002;2;2;2
2004;"CH0020";2;1002;2;2;2
2005;"CH0021";2;1002;2;2;2
2006;"CH0022";2;1002;2;2;2
2007;"CH0023";2;1002;2;2;2
2008;"CH0024";2;1002;2;2;2
2009;"CH0025";2;1002;2;2;2
2010;"CH0026";2;1002;2;2;2
2011;"CH0027";2;1002;2;2;2
2012;"CH0028";2;1002;2;2;2
2013;"CH0029";2;1002;2;2;2
2014;"CH002A";2;1002;2;2;2
2015;"CH002B";2;1002;2;2;2
2016;"CH002C";2;1002;2;2;2
2017;"CH002D";2;1002;2;2;2
2018;"CH002E";2;1002;2;2;2
2019;"CH002F";2;1002;2;2;2
2020;"CH0030";2;1002;2;2;2
2021;"CH0031";2;1002;2;2;2
2022;"CH0032";2;1002;2;2;2
2023;"CH0033";2;1002;2;2;2
2024;"CH0034";2;1002;2;2;2
2025;"CH0035";2;1002;2;2;2
2026;"CH0036";2;1002;2;2;2
2027;"CH0037";2;1002;2;2;2
2028;"CH0038";2;1002;2;2;2
2029;"CH0039";2;1002;2;2;2
2030;"CH003A";2;1002;2;2;2
2031;"CH003B";2;1002;2;2;2
2032;"CH003C";2;1002;2;2;2
2033;"CH003D";2;1002;2;2;2
2034;"CH003E";2;1002;2;2;2
2035;"CH003F";2;1002;2;2;2
2036;"CH0040";2;1002;2;2;2
2037;"CH0041";2;1002;2;2;2
2038;"CH0042";2;1002;2;2;2
2039;"CH0043";2;1002;2;2;2
2040;"CH0044";2;1002;2;2;2
2041;"CH0045";2;1002;2;2;2
2042;"CH0046";2;1002;2;2;2
2043;"CH0047";2;1002;2;2;2
2044;"CH0048";2;1002;2;2;2
2045;"CH0049";2;1002;2;2;2
2046;"CH004A";2;1002;2;2;2
2047;"CH004B";2;1002;2;2;2
2048;"CH004C";2;1002;2;2;2
2049;"CH004D";2;1002;2;2;2
2050;"CH004E";2;1002;2;2;2
2051;"CH004F";2;1002;2;2;2
2052;"CH0050";2;1002;2;2;2
2053;"CH0051";2;1002;2;2;2
2054;"CH0052";2;1002;2;2;2
2055;"CH0053";2;1002;2;2;2
2056;"CH0054";2;1002;2;2;2
2057;"CH0055";2;1002;2;2;2
