item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-NAS-1;RV-NAS-1;RV-NAS-1;AP7 - AUSOL I;RV-TUNEL;177+102;CA
2;MM-NAS-1;MM-NAS-1;MM-NAS-1;AP7 - AUSOL I;MM-TUNEL;177+102;CA
3;STMI-NAS-1;STMI-NAS-1;STMI-NAS-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
4;COR-NAS1-BC;COR-NAS1-BC;COR-NAS1-BC;AP7 - AUSOL II;COR-TUNEL;152+000;CA
5;LQ-NAS-1;LQ-NAS-1;LQ-NAS-1;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
6;CH-NAS-1;CH-NAS-1;CH-NAS-1;AP7 - AUSOL I;CH-TUNEL;199+793;CA
7;STM2-NAS-1;STM2-NAS-1;STM2-NAS-1;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
8;CAS-NAS1-BC;CAS-NAS1-BC;CAS-NAS1-BC;AP7 - AUSOL II;CAS-TUNEL;152+000;CA
9;EST-NAS-1;EST-NAS-1;EST-NAS-1;AP7 - AUSOL II;EST-TUNEL;177+229;CA
10;NG-NAS-1;NG-NAS-1;NG-NAS-1;AP7 - AUSOL I;NG-TUNEL;177+712;CA
