item;element_subtype;alias;sessionuid;description;road;stretchs;pk;sentido
1;2;TUN-BAR-1CA;TUN-BAR-1CA;TUN-BAR-1CA;Carretera Tunel;Tunel Norte;173+503;CA
2;2;TUN-BAR-2CA;TUN-BAR-2CA;TUN-BAR-2CA;Carretera Tunel;Tunel Norte;173+503;CA
3;2;TUN-BAR-1MA;TUN-BAR-1MA;TUN-BAR-1MA;Carretera Tunel;Tunel Sur;172+646;CA
4;2;TUN-BAR-2MA;TUN-BAR-2MA;TUN-BAR-2MA;Carretera Tunel;Tunel Sur;172+646;CA
