item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;2;RV-OTS-1;RV-OTS-1;RV-OTS-1;AP7 - AUSOL I;RV-TUNEL;177+307;MA
2;2;MM-OTS-1;MM-OTS-1;MM-OTS-1;AP7 - AUSOL I;MM-TUNEL;166+051;CA
3;2;STMI-OTS-1;STMI-OTS-1;STMI-OTS-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
4;2;CAS-OTS-1;CAS-OTS-1;CAS-OTS-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
5;2;CH-OTS-1;CH-OTS-1;CH-OTS-1;AP7 - AUSOL I;CH-TUNEL;195+719;CA
6;2;EST-OTS-1;EST-OTS-1;EST-OTS-1;AP7 - AUSOL II;EST-TUNEL;177+307;CA
7;2;STM2-OTS-1;STM2-OTS-1;STM2-OTS-1;AP7 - AUSOL II;STMII-TUNEL;177+307;CA
8;2;LQ-OTS-1;LQ-OTS-1;LQ-OTS-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
9;2;NG-OTS-1;NG-OTS-1;NG-OTS-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA
10;2;COR-OTS-1;COR-OTS-1;COR-OTS-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA
