item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model;param3_protocolo;param4_config_json
1;12;AF-2-01-DP-D;AF-2-01-DP-D;AF-2-01-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
2;12;AF-2-01-DP-C;AF-2-01-DP-C;AF-2-01-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
3;12;AF-2-01-DP-I;AF-2-01-DP-I;AF-2-01-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
4;12;AF-2-02-DP-D;AF-2-02-DP-D;AF-2-02-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
5;12;AF-2-02-DP-C;AF-2-02-DP-C;AF-2-02-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
6;12;AF-2-02-DP-I;AF-2-02-DP-I;AF-2-02-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
7;12;AF-2-03-DP-D;AF-2-03-DP-D;AF-2-03-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
8;12;AF-2-03-DP-C;AF-2-03-DP-C;AF-2-03-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
9;12;AF-2-03-DP-I;AF-2-03-DP-I;AF-2-03-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
10;12;AF-2-04-DP-D;AF-2-04-DP-D;AF-2-04-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
11;12;AF-2-04-DP-C;AF-2-04-DP-C;AF-2-04-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
12;12;AF-2-04-DP-I;AF-2-04-DP-I;AF-2-04-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
13;12;AF-2-05-DP-D;AF-2-05-DP-D;AF-2-05-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
14;12;AF-2-05-DP-C;AF-2-05-DP-C;AF-2-05-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
15;12;AF-2-05-DP-I;AF-2-05-DP-I;AF-2-05-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
16;12;AF-1-01-DP-D;AF-1-01-DP-D;AF-1-01-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
17;12;AF-1-01-DP-C;AF-1-01-DP-C;AF-1-01-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
18;12;AF-1-01-DP-I;AF-1-01-DP-I;AF-1-01-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
19;12;AF-1-02-DP-D;AF-1-02-DP-D;AF-1-02-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
20;12;AF-1-02-DP-C;AF-1-02-DP-C;AF-1-02-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
21;12;AF-1-02-DP-I;AF-1-02-DP-I;AF-1-02-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
22;12;AF-1-03-DP-D;AF-1-03-DP-D;AF-1-03-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
23;12;AF-1-03-DP-C;AF-1-03-DP-C;AF-1-03-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
24;12;AF-1-03-DP-I;AF-1-03-DP-I;AF-1-03-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
25;12;AF-1-04-DP-D;AF-1-04-DP-D;AF-1-04-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
26;12;AF-1-04-DP-C;AF-1-04-DP-C;AF-1-04-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
27;12;AF-1-04-DP-I;AF-1-04-DP-I;AF-1-04-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
28;12;AF-1-05-DP-D;AF-1-05-DP-D;AF-1-05-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
29;12;AF-1-05-DP-C;AF-1-05-DP-C;AF-1-05-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
30;12;AF-1-05-DP-I;AF-1-05-DP-I;AF-1-05-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
31;11;SV-2-01-DP-D;SV-2-01-DP-D;SV-2-01-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
