item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-TRAFO-MT-T154;RV-TRAFO-MT-T154;RV-TRAFO-MT-T154;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;MM-TRAFO-MT-T154;MM-TRAFO-MT-T154;MM-TRAFO-MT-T154;AP7 - AUSOL I;MM-TUNEL;166+707;CA
3;LQ-TRAFO-MT-T154;LQ-TRAFO-MT-T154;LQ-TRAFO-MT-T154;AP7 - AUSOL I;LQ-TUNEL;166+707;CA
4;CH-TRAFO-MT-T154;CH-TRAFO-MT-T154;CH-TRAFO-MT-T154;AP7 - AUSOL I;CH-TUNEL;166+707;CA
7;CAS-TRAFO-MT-T154-BM;CAS-TRAFO-MT-T154-BM;CAS-TRAFO-MT-T154-BM;AP7 - AUSOL II;CAS-TUNEL;166+707;CA
8;COR-TRAFO-MT-T154-BC;COR-TRAFO-MT-T154-BC;COR-TRAFO-MT-T154-BC;AP7 - AUSOL II;COR-TUNEL;166+707;CA
9;STM2-TRAFO-MT-T154;STM2-TRAFO-MT-T154;STM2-TRAFO-MT-T154;AP7 - AUSOL II;STMII-TUNEL;166+707;CA
10;CAS-TRAFO-MT-T154-BC;CAS-TRAFO-MT-T154-BC;CAS-TRAFO-MT-T154-BC;AP7 - AUSOL II;CAS-TUNEL;166+707;CA
11;COR-TRAFO-MT-T154-BM;COR-TRAFO-MT-T154-BM;COR-TRAFO-MT-T154-BM;AP7 - AUSOL II;COR-TUNEL;166+707;CA
