root_device;signal;id;device;channel;description;controller;inverseLogic;xAddress;xStatusAddress
Central de alarmas CAS Sentido CA;zonesAlarm;1;DTR_OTS_CA;DO601;CAS-OTS CA Alarma Zona 1;OTS;false;1000;1200
Central de alarmas CAS Sentido CA;zonesAlarm;2;DTR_OTS_CA;DO602;CAS-OTS CA Alarma Zona 2;OTS;false;1001;1201
Central de alarmas CAS Sentido CA;zonesAlarm;3;DTR_OTS_CA;DO603;CAS-OTS CA Alarma Zona 3;OTS;false;1002;1202
Central de alarmas CAS Sentido CA;zonesAlarm;4;DTR_OTS_CA;DO604;CAS-OTS CA Alarma Zona 4;OTS;false;1003;1203
Central de alarmas CAS Sentido CA;zonesAlarm;5;DTR_OTS_CA;DO605;CAS-OTS CA Alarma Zona 5;OTS;false;1004;1204
Central de alarmas CAS Sentido CA;zonesAlarm;6;DTR_OTS_CA;DO606;CAS-OTS CA Alarma Zona 6;OTS;false;1005;1205
Central de alarmas CAS Sentido CA;zonesAlarm;7;DTR_OTS_CA;DO607;CAS-OTS CA Alarma Zona 7;OTS;false;1006;1206
Central de alarmas CAS Sentido CA;zonesAlarm;8;DTR_OTS_CA;DO608;CAS-OTS CA Alarma Zona 8;OTS;false;1007;1207
Central de alarmas CAS Sentido CA;zonesAlarm;9;DTR_OTS_CA;DO609;CAS-OTS CA Alarma Zona 9;OTS;false;1008;1208
Central de alarmas CAS Sentido CA;zonesAlarm;10;DTR_OTS_CA;DO610;CAS-OTS CA Alarma Zona 10;OTS;false;1009;1209
Central de alarmas CAS Sentido CA;zonesAlarm;11;DTR_OTS_CA;DO611;CAS-OTS CA Alarma Zona 11;OTS;false;1010;1210
Central de alarmas CAS Sentido CA;zonesAlarm;12;DTR_OTS_CA;DO612;CAS-OTS CA Alarma Zona 12;OTS;false;1011;1211
Central de alarmas CAS Sentido CA;zonesAlarm;13;DTR_OTS_CA;DO613;CAS-OTS CA Alarma Zona 13;OTS;false;1012;1212
Central de alarmas CAS Sentido CA;zonesAlarm;14;DTR_OTS_CA;DO614;CAS-OTS CA Alarma Zona 14;OTS;false;1013;1213
Central de alarmas CAS Sentido CA;zonesAlarm;15;DTR_OTS_CA;DO615;CAS-OTS CA Alarma Zona 15;OTS;false;1014;1214
Central de alarmas CAS Sentido CA;fiberFaultAlarm;1;DTR_OTS_CA;DO901;CAS-OTS CA Alarma fibra Zona 1;OTS;false;1015;1215
Central de alarmas CAS Sentido CA;fiberFaultAlarm;2;DTR_OTS_CA;DO902;CAS-OTS CA Alarma fibra Zona 2;OTS;false;1016;1216
Central de alarmas CAS Sentido CA;fiberFaultAlarm;3;DTR_OTS_CA;DO903;CAS-OTS CA Alarma fibra Zona 3;OTS;false;1017;1217
