alias;value_1;operation_id;value_2;element_type_id;timer
DAY_40_DAY_30;300;1;65534;31;
DAY_40_DAY_30;840;1;1260;14;
DAY_40_DAY_20;300;1;65534;31;
DAY_40_DAY_20;420;1;840;14;
DAY_40_DAY_10;300;1;65534;31;
DAY_40_DAY_10;420;6;;14;
DAY_40_NIGHT;300;6;;31;
DAY_30_DAY_100;300;1;65534;31;
DAY_30_DAY_100;4562;1;65534;14;
DAY_30_DAY_85;300;1;65534;31;
DAY_30_DAY_85;3878;1;4562;14;
DAY_30_DAY_65;300;1;65534;31;
DAY_30_DAY_65;1890;1;2521;14;
DAY_30_DAY_50;300;1;65534;31;
DAY_30_DAY_50;1890;1;2521;14;
DAY_30_DAY_40;300;1;65534;31;
DAY_30_DAY_40;1260;1;1890;14;
DAY_30_DAY_20;300;1;65534;31;
DAY_30_DAY_20;420;1;840;14;
DAY_30_DAY_10;300;1;65534;31;
DAY_30_DAY_10;420;6;;14;
DAY_30_NIGHT;300;6;;31;
DAY_20_DAY_100;300;1;65534;31;
DAY_20_DAY_100;4562;1;65534;14;
DAY_20_DAY_85;300;1;65534;31;
DAY_20_DAY_85;3878;1;4562;14;
DAY_20_DAY_65;300;1;65534;31;
DAY_20_DAY_65;1890;1;2521;14;
DAY_20_DAY_50;300;1;65534;31;
DAY_20_DAY_50;1890;1;2521;14;
DAY_20_DAY_40;300;1;65534;31;
DAY_20_DAY_40;1260;1;1890;14;
DAY_20_DAY_30;300;1;65534;31;
DAY_20_DAY_30;840;1;1260;14;
DAY_20_DAY_10;300;1;65534;31;
DAY_20_DAY_10;420;6;;14;
DAY_20_NIGHT;300;6;;31;
DAY_10_DAY_100;300;1;65534;31;
DAY_10_DAY_100;4562;1;65534;14;
DAY_10_DAY_85;300;1;65534;31;
DAY_10_DAY_85;3878;1;4562;14;
DAY_10_DAY_65;300;1;65534;31;
DAY_10_DAY_65;1890;1;2521;14;
DAY_10_DAY_50;300;1;65534;31;
DAY_10_DAY_50;1890;1;2521;14;
DAY_10_DAY_40;300;1;65534;31;
DAY_10_DAY_40;1260;1;1890;14;
DAY_10_DAY_30;300;1;65534;31;
DAY_10_DAY_30;840;1;1260;14;
DAY_10_DAY_20;300;1;65534;31;
DAY_10_DAY_20;420;1;840;14;
DAY_10_NIGHT;300;6;;31;
NIGHT_DAY_100;300;1;65534;31;
NIGHT_DAY_100;4562;1;65534;14;
NIGHT_DAY_85;300;1;65534;31;
NIGHT_DAY_85;3878;1;4562;14;
NIGHT_DAY_65;300;1;65534;31;
NIGHT_DAY_65;1890;1;2521;14;
NIGHT_DAY_50;300;1;65534;31;
NIGHT_DAY_50;1890;1;2521;14;
NIGHT_DAY_40;300;1;65534;31;
NIGHT_DAY_40;1260;1;1890;14;
NIGHT_DAY_30;300;1;65534;31;
NIGHT_DAY_30;840;1;1260;14;
NIGHT_DAY_20;300;1;65534;31;
NIGHT_DAY_20;420;1;840;14;
NIGHT_DAY_10;300;1;65534;31;
NIGHT_DAY_10;420;6;;14;
