element_type;element_subtype;alias;svg_file;js_custom_type_render;keepRatio
1;;EM;01_weather_station.svg;;true
2;1;CAM_DOMO;02_camera_domo.svg;;true
2;2;CAM_FIX;02_camera.svg;;true
3;;Detector;03_detector.svg;;true
4;;Seccion;04_section.svg;;true
5;;PA_system;05_pa_system.svg;;true
8;;BAR;08_barrier.svg;;true
9;;VNT;09_jetfan.svg;;true
11;;SOS;11_sos.svg;;true
12;;LUX;12_lux.svg;;true
13;;SEM;13_sem_3_grupos.svg;;true
14;;LUM;14_lum.svg;;true
15;;FIRE;15_fire.svg;;false
16;;PA_ZONE;16_pa_zone_width.svg;;false
18;;ANEM;18_anemometro.svg;;true
18;;ANEMFLIP;18_anemometro.svg;;true
19;;CO;19_co.svg;;true
20;;NO;20_no.svg;;true
21;;OPAC;21_opac.svg;;true
22;;VALV;22_valvulas.svg;;true
26;;SWITCH;26_switch.svg;;true
27;;PLC;27_plc.svg;;true
28;;NAS;28_nas.svg;;true
29;;FIBRO_CT;29_fibrolaser_ct.svg;;true
30;;RADIO;30_radio.svg;;true
31;;FOTOCELULA;31_pho.svg;;true
32;;PRESUR;32_presurizacion_vent.svg;;true
33;;TRAFO;33_trafo.svg;;true
48;;TOXIC_CONTROL;48_toxic_control.svg;;true
51;;ETD;51_etd.svg;;true
52;;DAI;52_dai_server.svg;;true
53;;SEM;53_sem_2_grupos.svg;;true
55;;CT;55_ct.svg;;true
56;;UF;56_unifilar.svg;;true
57;;MAG_DIF;57_switch.svg;;true
58;;PULS;58_pulsador.svg;;true
59;;DET_HUM;59_smoke_detector.svg;;true
60;;SIRENA;60_sirena.svg;;true
61;;FIRE_CENT;61_fire_det_ct.svg;;true
65;;SAI;65_sai.svg;;true
66;;VANE;66_vane.svg;;true
70;;CVM;70_analizador_red.svg;;true
71;;PMV;71_vms_dgt.svg;;true
74;;ERU;74_eru.svg;;true
75;;GE;75_ge.svg;;true
84;;LIGHT_CIRCUIT;84_switch_light_bulb.svg;;true
85;;DALI;85_bus_dali.svg;;false
86;;PUMP;86_pump.svg;;true
87;;TANK;87_tank.svg;;true
88;;LEAK_WATER;88_leak_water_sensor.svg;;true
89;;GATE;89_gate.svg;;true
93;;TRANSFER_GROUP;93_transfer_group.svg;;true
96;;CALL_SYSTEM;02_camera.svg;;true
