synoptic_alias;alias;parent_alias;id_element_type;id_element_subtype;module_action_id
SELECTOR_TREE_NODES_SINOPTICOS_CT_PLANO;SYNOPTIC_LAYERS_LOCALES_TECNICOS;;55;;
SELECTOR_TREE_NODES_SINOPTICOS_CT_PLANO;SYNOPTIC_LAYERS_GRUPOS_ELECTRÓGENOS;;75;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_DETECCION_INCENDIOS;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_EM;;1;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_ILUMINACION;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_LOCALES_TECNICOS;;55;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_POSTES_SOS;;11;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_TRAFICO;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_VENTILACION;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_COMUNICACIONES;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_DAI;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_MEGAFONIA;;;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_BARRERAS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;8;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_CAMARAS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;2;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_PANELES;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;18;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_PANELES;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;16;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_PANELES;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;11;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_PANELES;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;12;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_SEMAFOROS_2GRUPOS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;53;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_SEMAFOROS_3GRUPOS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;13;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_PRESURIZACION;SYNOPTIC_LAYERS_DETECCION_INCENDIOS;32;;
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL_GENERAL;SYNOPTIC_LAYERS_PUERTAS_EMERGENCIA;SYNOPTIC_LAYERS_DETECCION_INCENDIOS;89;;
