device_name;session_uid;url_publisher
RADF-127+670D;RADF-127+670D;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/
RADF-91+358D;RADF-91+358D;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/
RADF-32+560C;RADF-32+560C;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/
RADF-401+561C;RADF-401+561C;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/
RADF-25+900D;RADF-25+900D;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/
RADF-60+230C;RADF-60+230C;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/
