name;device;channel;description;controller;xAddress;xStatusAddress;xAlarmAddress;xAlarmStatusAddress;multiplier;offset;log;units;avg
CH-CO-1MA;SOS_M1;M1AI0;CH-CO-1MA Nivel de CO;WAGO;16714;157;757;205;0.009158;0.0;true;ppm;false
CH-NO-1MA;SOS_M1;M1AI1;CH-NO-1MA Nivel de NO;WAGO;16716;158;758;206;0.000611;0.0;true;ppm;false
CH-OPC-1MA;SOS_M1;M1AI2;CH-OPC-1MA Nivel de opacidad;WAGO;16718;159;759;207;0.000003052;0.0;true;m-1;false
CH-CO-2MA;SOS_M2;M1AI0;CH-CO-2MA Nivel de CO;WAGO;16720;160;760;208;0.009158;0.0;true;ppm;false
CH-NO-2MA;SOS_M2;M1AI1;CH-NO-2MA Nivel de NO;WAGO;16722;161;761;209;0.000611;0.0;true;ppm;false
CH-OPC-2MA;SOS_M2;M1AI2;CH-OPC-2MA Nivel de opacidad;WAGO;16724;162;762;210;0.000003052;0.0;true;m-1;false
CH-CO-3MA;SOS_M3;M1AI0;CH-CO-3MA Nivel de CO;WAGO;16726;163;763;211;0.009158;0.0;true;ppm;false
CH-NO-3MA;SOS_M3;M1AI1;CH-NO-3MA Nivel de NO;WAGO;16728;164;764;212;0.000611;0.0;true;ppm;false
CH-OPC-3MA;SOS_M3;M1AI2;CH-OPC-3MA Nivel de opacidad;WAGO;16730;165;765;213;0.000003052;0.0;true;m-1;false
CH-LUX-1CA;SOS_C1;M1AI4;CH-LUX-1CA Nivel de luminosidad;WAGO;16732;166;766;214;0.0304945054945055;1.0;false;lux;false
CH-LUX-2CA;SOS_C1;M1AI5;CH-LUX-2CA Nivel de luminosidad;WAGO;16734;167;767;215;0.0304945054945055;1.0;false;lux;false
CH-LUX-3CA;SOS_C1;M1AI6;CH-LUX-3CA Nivel de luminosidad;WAGO;16736;168;768;216;0.0304945054945055;1.0;false;lux;false
CH-LUX-4CA;SOS_C2;M2AI0;CH-LUX-4CA Nivel de luminosidad;WAGO;16738;169;769;217;0.0304945054945055;1.0;false;lux;false
CH-LUX-1MA;SOS_M1;M1AI4;CH-LUX-1MA Nivel de luminosidad;WAGO;16740;170;770;218;0.0304945054945055;1.0;false;lux;false
CH-LUX-2MA;SOS_M1;M1AI5;CH-LUX-2MA Nivel de luminosidad;WAGO;16742;171;771;219;0.0304945054945055;1.0;false;lux;false
CH-LUX-3MA;SOS_M1;M1AI6;CH-LUX-3MA Nivel de luminosidad;WAGO;16744;172;772;220;0.0304945054945055;1.0;false;lux;false
CH-LUX-4MA;SOS_M2;M1AI3;CH-LUX-4MA Nivel de luminosidad;WAGO;16746;173;773;221;0.0304945054945055;1.0;false;lux;false
CH-LUM-1CA;Rack_Exterior_BC;M1AI0;CH-LUM-1CA Nivel de luminosidad;WAGO;16748;174;774;222;0.1984126;0.0;false;cd/m 2;true
CH-ANE-1CA;SOS_C1;M1AI3;CH-ANE-1CA Velocidad y Direccion del viento;WAGO;16750;175;775;223;-0.001221;20;false;m/s;false
CH-ANE-2CA;SOS_C3;M1AI3;CH-ANE-2CA Velocidad y Direccion del viento;WAGO;16752;176;776;224;-0.001221;20;false;m/s;false
CH-ANE-1MA;SOS_M1;M1AI3;CH-ANE-1MA Velocidad y Direccion del viento;WAGO;16754;177;777;225;-0.001221;20;false;m/s;false
CH-ANE-2MA;SOS_M3;M1AI3;CH-ANE-2MA Velocidad y Direccion del viento;WAGO;16756;178;778;226;-0.001221;20;false;m/s;false
CH-LUM-1MA;Rack_Exterior_BM;M1AI0;CH-LUM-1MA Nivel de luminosidad;WAGO;16758;179;779;227;0.1984126;0.0;false;cd/m 2;true
CH-FOT-1MA;CGBT;M1AI7;Nivel de luminosidad CH-FOT-1MA;WAGO;16760;180;780;228;0.305250;0.0;false;lux;false
CH-VTA-ANE-1CA;Rack_Exterior_BC;M1AI1;CH-VTA-ANE-1CA Velocidad del viento;WAGO;16762;181;781;229;0.00152625;0.0;false;m/s;false
CH-VTA-ANE-1CA;Rack_Exterior_BC;M1AI2;CH-VTA-ANE-1CA Direccion del viento;WAGO;16764;182;782;230;0.010989;0.0;false;gr;false
