model;description;spinningStatusRegisterXAddress;spinningStatusRegisterXStatusAddress;spinningRegisterXAddress;spinningRegisterXStatusAddress
A;CH-VENT-VF1-MA;16508;616;25028;624
A;CH-VENT-VF2-MA;16509;617;25029;625
A;CH-VENT-VF3-MA;16510;618;25030;626
A;CH-VENT-VF4-MA;16511;619;25031;627
A;CH-VENT-VF5-MA;16512;620;25032;628
A;CH-VENT-VF6-MA;16513;621;25033;629
A;CH-VENT-VF7-MA;16514;622;25034;630
A;CH-VENT-VF8-MA;16515;623;25035;631
