item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
70;1;S1TN-BIE-002;S1TN-BIE-002;S1TN-BIE-002;AVO;S1TN-ZON-005;Secc.01-11-12;39+290;2990;
71;2;S1TS-BIE-048;S1TS-BIE-048;S1TS-BIE-048;AVO;S1TS-ZON-024;Secc.01-10-03;39+300;3000;
72;2;S1TN-BIE-003;S1TN-BIE-003;S1TN-BIE-003;AVO;S1TN-ZON-004;Secc.01-11-12;39+340;3035;
73;1;S1TS-BIE-049;S1TS-BIE-049;S1TS-BIE-049;AVO;S1TS-ZON-025;Secc.01-10-03;39+350;3050;
74;1;S1TN-BIE-004;S1TN-BIE-004;S1TN-BIE-004;AVO;S1TN-ZON-004;Secc.01-11-12;39+380;3080;
75;2;S1TS-BIE-050;S1TS-BIE-050;S1TS-BIE-050;AVO;S1TS-ZON-025;Secc.01-10-03;39+420;3120;
76;2;S1TN-BIE-005;S1TN-BIE-005;S1TN-BIE-005;AVO;S1TN-ZON-003;Secc.01-11-12;39+430;3125;
77;1;S1TS-BIE-051;S1TS-BIE-051;S1TS-BIE-051;AVO;S1TS-ZON-025;Secc.01-10-03;39+470;3170;
78;1;S1TN-BIE-006;S1TN-BIE-006;S1TN-BIE-006;AVO;S1TN-ZON-003;Secc.01-11-12;39+470;3170;
79;2;S1TS-BIE-052;S1TS-BIE-052;S1TS-BIE-052;AVO;S1TS-ZON-026;Secc.01-10-03;39+520;3220;
80;2;S1TN-BIE-007;S1TN-BIE-007;S1TN-BIE-007;AVO;S1TN-ZON-002;Secc.01-11-12;39+520;3215;
81;1;S1TS-BIE-053;S1TS-BIE-053;S1TS-BIE-053;AVO;S1TS-ZON-027;Secc.01-10-03;39+570;3270;
82;1;S1TN-BIE-008;S1TN-BIE-008;S1TN-BIE-008;AVO;;Secc.01-11-12;39+570;3265;
83;2;S1TS-BIE-054;S1TS-BIE-054;S1TS-BIE-054;AVO;S1TS-ZON-027;Secc.01-10-03;39+620;3320;
84;2;S1TN-BIE-009;S1TN-BIE-009;S1TN-BIE-009;AVO;S1TN-ZON-001;Secc.01-11-12;39+620;3315;
85;1;S1TS-BIE-055;S1TS-BIE-055;S1TS-BIE-055;AVO;S1TS-ZON-027;Secc.01-10-03;39+670;3368;
86;1;S1TN-BIE-010;S1TN-BIE-010;S1TN-BIE-010;AVO;S1TN-ZON-001;Secc.01-11-12;39+670;3368;
87;1;INKO-BIE-004;INKO-BIE-004;INKO-BIE-004;AVO;;Secc.03-42-11;0+050;50;
88;1;SNKP-BIE-002;SNKP-BIE-002;SNKP-BIE-002;AVO;;Secc.03-43-11;0+080;80;
89;1;SNKO-BIE-002;SNKO-BIE-002;SNKO-BIE-002;AVO;;Secc.03-45-11;0+090;90;
90;2;SMPN-BIE-001;SMPN-BIE-001;SMPN-BIE-001;AVO;SMPN-ZON-001;Secc.02-303-05;0+100;100;
91;1;SICO-BIE-002;SICO-BIE-002;SICO-BIE-002;AVO;;Secc.02-260-06;0+150;150;
92;1;INKO-BIE-002;INKO-BIE-002;INKO-BIE-002;AVO;;Secc.03-42-11;0+150;150;
93;1;SMPS-BIE-001;SMPS-BIE-001;SMPS-BIE-001;AVO;;Secc.03-252-10;0+160;160;
94;1;SNKP-BIE-004;SNKP-BIE-004;SNKP-BIE-004;AVO;;Secc.03-43-11;0+180;180;
96;1;SNKO-BIE-004;SNKO-BIE-004;SNKO-BIE-004;AVO;;Secc.03-45-11;0+190;190;
97;2;SMPN-BIE-003;SMPN-BIE-003;SMPN-BIE-003;AVO;SMPN-ZON-002;Secc.02-303-05;0+200;200;
98;1;SAPR-BIE-001;SAPR-BIE-001;SAPR-BIE-001;AVO;;Secc.03-253-10;0+220;220;
99;1;SICO-BIE-004;SICO-BIE-004;SICO-BIE-004;AVO;SICO-ZON-001;Secc.02-260-06;0+250;250;
100;1;SMPS-BIE-003;SMPS-BIE-003;SMPS-BIE-003;AVO;;Secc.03-252-10;0+260;260;
102;2;SMPN-BIE-005;SMPN-BIE-005;SMPN-BIE-005;AVO;SMPN-ZON-003;Secc.02-303-05;0+300;300;
103;1;SAPR-BIE-003;SAPR-BIE-003;SAPR-BIE-003;AVO;;Secc.03-253-10;0+320;320;
104;1;ICNP-BIE-010;ICNP-BIE-010;ICNP-BIE-010;AVO;ICNP-ZON-006;Secc.02-47-04;0+320;320;
105;1;SICO-BIE-006;SICO-BIE-006;SICO-BIE-006;AVO;SICO-ZON-002;Secc.02-260-06;0+350;350;
106;1;SMPN-BIE-006;SMPN-BIE-006;SMPN-BIE-006;AVO;;Secc.02-303-05;0+360;360;
107;1;ICNP-BIE-008;ICNP-BIE-008;ICNP-BIE-008;AVO;ICNP-ZON-005;Secc.02-47-04;0+420;420;
108;1;INKP-BIE-013;INKP-BIE-013;INKP-BIE-013;AVO;;Secc.02-29-04;0+450;450;
109;1;SMPN-BIE-008;SMPN-BIE-008;SMPN-BIE-008;AVO;;Secc.02-303-05;0+460;460;
110;1;ICNP-BIE-006;ICNP-BIE-006;ICNP-BIE-006;AVO;ICNP-ZON-004;Secc.02-47-04;0+520;520;
111;1;INKP-BIE-011;INKP-BIE-011;INKP-BIE-011;AVO;;Secc.02-29-04;0+550;550;
112;1;ICNP-BIE-004;ICNP-BIE-004;ICNP-BIE-004;AVO;ICNP-ZON-003;Secc.02-47-04;0+620;620;
113;1;INKP-BIE-009;INKP-BIE-009;INKP-BIE-009;AVO;;Secc.02-29-04;0+650;650;
114;1;ICNP-BIE-002;ICNP-BIE-002;ICNP-BIE-002;AVO;ICNP-ZON-002;Secc.02-47-04;0+720;720;
115;1;INKP-BIE-007;INKP-BIE-007;INKP-BIE-007;AVO;;Secc.02-29-04;0+750;750;
116;1;INKP-BIE-005;INKP-BIE-005;INKP-BIE-005;AVO;INKP-ZON-006;Secc.02-29-04;0+850;850;
117;1;INKP-BIE-003;INKP-BIE-003;INKP-BIE-003;AVO;INKP-ZON-007;Secc.02-29-04;0+950;950;
118;1;INKP-BIE-001;INKP-BIE-001;INKP-BIE-001;AVO;INKP-ZON-008;Secc.02-29-04;1+050;1050;
119;1;SVIP-BIE-002;SVIP-BIE-002;SVIP-BIE-002;AVO;SVIP-ZON-001;Secc.03-15-12;2+150;2150;
120;1;IVIP-BIE-003;IVIP-BIE-003;IVIP-BIE-003;AVO;IVIP-ZON-002;Secc.02-16-04;3+200;3200;
121;1;IVIP-BIE-001;IVIP-BIE-001;IVIP-BIE-001;AVO;IVIP-ZON-001;Secc.02-16-04;3+300;3300;
122;1;S2TS-BIE-003;S2TS-BIE-003;S2TS-BIE-003;AVO;S2TS-ZON-002;Secc.01-10-03;39+770;3470;
123;1;S2TN-BIE-003;S2TN-BIE-003;S2TN-BIE-003;AVO;S2TN-ZON-049;Secc.03-11-11;39+770;3470;
124;1;S2TS-BIE-005;S2TS-BIE-005;S2TS-BIE-005;AVO;S2TS-ZON-002;Secc.01-10-03;39+870;3570;
125;1;S2TN-BIE-005;S2TN-BIE-005;S2TN-BIE-005;AVO;S2TN-ZON-048;Secc.03-11-10;39+870;3570;
126;1;S2TS-BIE-007;S2TS-BIE-007;S2TS-BIE-007;AVO;S2TS-ZON-003;Secc.01-10-03;39+970;3670;
127;1;S2TN-BIE-007;S2TN-BIE-007;S2TN-BIE-007;AVO;S2TN-ZON-047;Secc.03-11-11;39+970;3670;
128;1;S2TS-BIE-009;S2TS-BIE-009;S2TS-BIE-009;AVO;S2TS-ZON-004;Secc.01-10-03;40+070;3770;
129;1;S2TN-BIE-009;S2TN-BIE-009;S2TN-BIE-009;AVO;S2TN-ZON-046;Secc.03-11-11;40+070;3770;
130;1;S2TS-BIE-011;S2TS-BIE-011;S2TS-BIE-011;AVO;S2TS-ZON-005;Secc.01-10-03;40+170;3870;
131;1;S2TN-BIE-011;S2TN-BIE-011;S2TN-BIE-011;AVO;S2TN-ZON-045;Secc.03-11-11;40+170;3870;
132;1;S2TS-BIE-013;S2TS-BIE-013;S2TS-BIE-013;AVO;S2TS-ZON-006;Secc.01-10-03;40+270;3970;
133;1;S2TN-BIE-013;S2TN-BIE-013;S2TN-BIE-013;AVO;SVIP-ZON-001;Secc.03-11-11;40+270;3970;
134;1;S2TS-BIE-015;S2TS-BIE-015;S2TS-BIE-015;AVO;S2TS-ZON-007;Secc.01-10-03;40+370;4070;
135;1;S2TN-BIE-015;S2TN-BIE-015;S2TN-BIE-015;AVO;S2TN-ZON-043;Secc.03-11-11;40+370;4070;
136;1;IPRO-BIE-002;IPRO-BIE-002;IPRO-BIE-002;AVO;;Secc.03-57-10;4+160;4160;
137;1;S2TS-BIE-017;S2TS-BIE-017;S2TS-BIE-017;AVO;S2TS-ZON-009;Secc.02-10-04;40+470;4170;
138;1;S2TN-BIE-017;S2TN-BIE-017;S2TN-BIE-017;AVO;S2TN-ZON-041;Secc.03-11-11;40+470;4170;
139;1;S2TS-BIE-019;S2TS-BIE-019;S2TS-BIE-019;AVO;S2TS-ZON-010;Secc.02-10-04;40+570;4270;
140;1;S2TN-BIE-019;S2TN-BIE-019;S2TN-BIE-019;AVO;S2TN-ZON-040;Secc.03-11-11;40+570;4270;
141;1;S2TS-BIE-021;S2TS-BIE-021;S2TS-BIE-021;AVO;S2TS-ZON-011;Secc.02-10-04;40+670;4370;
142;1;S2TN-BIE-021;S2TN-BIE-021;S2TN-BIE-021;AVO;;Secc.03-11-11;40+670;4370;
143;1;S2TS-BIE-023;S2TS-BIE-023;S2TS-BIE-023;AVO;S2TS-ZON-012;Secc.02-10-04;40+770;4470;
144;1;S2TN-BIE-023;S2TN-BIE-023;S2TN-BIE-023;AVO;;Secc.03-11-10;40+770;4470;
145;1;S2TS-BIE-025;S2TS-BIE-025;S2TS-BIE-025;AVO;S2TS-ZON-013;Secc.02-10-04;40+870;4570;
146;1;S2TN-BIE-025;S2TN-BIE-025;S2TN-BIE-025;AVO;;Secc.03-11-10;40+870;4570;
147;1;S2TS-BIE-027;S2TS-BIE-027;S2TS-BIE-027;AVO;S2TS-ZON-014;Secc.02-10-04;40+970;4670;
148;1;S2TN-BIE-027;S2TN-BIE-027;S2TN-BIE-027;AVO;;Secc.03-11-11;40+970;4670;
149;1;S2TS-BIE-029;S2TS-BIE-029;S2TS-BIE-029;AVO;S2TS-ZON-015;Secc.02-10-04;41+070;4770;
150;1;S2TN-BIE-029;S2TN-BIE-029;S2TN-BIE-029;AVO;;Secc.03-11-11;41+070;4770;
151;1;S2TS-BIE-031;S2TS-BIE-031;S2TS-BIE-031;AVO;S2TS-ZON-016;Secc.02-10-04;41+170;4870;
152;1;S2TN-BIE-031;S2TN-BIE-031;S2TN-BIE-031;AVO;;Secc.03-11-11;41+170;4870;
153;1;S2TS-BIE-033;S2TS-BIE-033;S2TS-BIE-033;AVO;S2TS-ZON-016;Secc.02-10-04;41+270;4970;
154;1;S2TN-BIE-033;S2TN-BIE-033;S2TN-BIE-033;AVO;;Secc.03-11-11;41+270;4970;
155;1;S2TS-BIE-035;S2TS-BIE-035;S2TS-BIE-035;AVO;;Secc.02-10-04;41+370;5070;
156;1;S2TN-BIE-035;S2TN-BIE-035;S2TN-BIE-035;AVO;;Secc.03-11-11;41+370;5070;
157;1;S2TS-BIE-037;S2TS-BIE-037;S2TS-BIE-037;AVO;S2TS-ZON-019;Secc.02-10-05;41+470;5170;
158;1;S2TN-BIE-037;S2TN-BIE-037;S2TN-BIE-037;AVO;;Secc.03-11-11;41+470;5170;
159;1;ICCO-BIE-004;ICCO-BIE-004;ICCO-BIE-004;AVO;;Secc.03-258-09;5+170;5170;
160;1;S2TS-BIE-039;S2TS-BIE-039;S2TS-BIE-039;AVO;S2TS-ZON-020;Secc.02-10-05;41+570;5270;
161;1;S2TN-BIE-039;S2TN-BIE-039;S2TN-BIE-039;AVO;;Secc.03-11-11;41+570;5270;
162;1;ICCO-BIE-002;ICCO-BIE-002;ICCO-BIE-002;AVO;;Secc.03-258-09;5+270;5270;
163;1;S2TS-BIE-041;S2TS-BIE-041;S2TS-BIE-041;AVO;S2TS-ZON-020;Secc.02-10-05;41+670;5370;
164;1;S2TN-BIE-041;S2TN-BIE-041;S2TN-BIE-041;AVO;;Secc.03-11-11;41+670;5370;
165;1;S2TS-BIE-043;S2TS-BIE-043;S2TS-BIE-043;AVO;ICNP-ZON-001;Secc.02-10-05;41+770;5470;
166;1;S2TN-BIE-043;S2TN-BIE-043;S2TN-BIE-043;AVO;;Secc.03-11-11;41+770;5470;
167;1;S2TS-BIE-045;S2TS-BIE-045;S2TS-BIE-045;AVO;S2TS-ZON-023;Secc.02-10-05;41+870;5570;
168;1;S2TN-BIE-045;S2TN-BIE-045;S2TN-BIE-045;AVO;;Secc.03-11-09;41+870;5570;
169;1;S2TS-BIE-047;S2TS-BIE-047;S2TS-BIE-047;AVO;S2TS-ZON-024;Secc.02-10-05;41+968;5668;
170;1;S2TN-BIE-047;S2TN-BIE-047;S2TN-BIE-047;AVO;;Secc.03-11-10;41+968;5668;
171;1;S2TS-BIE-049;S2TS-BIE-049;S2TS-BIE-049;AVO;S2TS-ZON-024;Secc.02-10-05;42+068;5768;
172;1;S2TN-BIE-049;S2TN-BIE-049;S2TN-BIE-049;AVO;;Secc.03-11-10;42+068;5768;
173;1;S2TS-BIE-051;S2TS-BIE-051;S2TS-BIE-051;AVO;S2TS-ZON-025;Secc.02-10-05;42+168;5868;
174;1;S2TN-BIE-051;S2TN-BIE-051;S2TN-BIE-051;AVO;;Secc.03-11-10;42+168;5868;
175;1;S2TS-BIE-053;S2TS-BIE-053;S2TS-BIE-053;AVO;S2TS-ZON-027;Secc.02-10-05;42+268;5968;
176;1;S2TN-BIE-053;S2TN-BIE-053;S2TN-BIE-053;AVO;;Secc.03-11-10;42+268;5968;
177;1;S2TS-BIE-055;S2TS-BIE-055;S2TS-BIE-055;AVO;S2TS-ZON-028;Secc.02-10-05;42+368;6068;
178;1;S2TN-BIE-055;S2TN-BIE-055;S2TN-BIE-055;AVO;;Secc.03-11-10;42+368;6068;
179;1;ICCP-BIE-001;ICCP-BIE-001;ICCP-BIE-001;AVO;ICCP-ZON-003;Secc.02-256-07;6+120;6120;
180;1;S2TS-BIE-057;S2TS-BIE-057;S2TS-BIE-057;AVO;S2TS-ZON-029;Secc.02-10-05;42+468;6168;
181;1;S2TN-BIE-057;S2TN-BIE-057;S2TN-BIE-057;AVO;;Secc.03-11-10;42+468;6168;
182;1;ICCP-BIE-003;ICCP-BIE-003;ICCP-BIE-003;AVO;ICCP-ZON-003;Secc.02-256-07;6+220;6220;
183;1;S2TS-BIE-059;S2TS-BIE-059;S2TS-BIE-059;AVO;S2TS-ZON-029;Secc.02-10-05;42+568;6268;
184;1;S2TN-BIE-059;S2TN-BIE-059;S2TN-BIE-059;AVO;;Secc.03-11-10;42+568;6268;
185;1;ICCP-BIE-005;ICCP-BIE-005;ICCP-BIE-005;AVO;ICCP-ZON-002;Secc.02-256-07;6+320;6320;
186;1;S2TS-BIE-061;S2TS-BIE-061;S2TS-BIE-061;AVO;S2TS-ZON-030;Secc.02-10-06;42+668;6368;
187;1;S2TN-BIE-061;S2TN-BIE-061;S2TN-BIE-061;AVO;;Secc.03-11-10;42+668;6368;
188;1;S2TS-BIE-063;S2TS-BIE-063;S2TS-BIE-063;AVO;S2TS-ZON-031;Secc.02-10-06;42+768;6468;
189;1;S2TN-BIE-063;S2TN-BIE-063;S2TN-BIE-063;AVO;;Secc.03-11-10;42+768;6468;
190;1;S2TS-BIE-065;S2TS-BIE-065;S2TS-BIE-065;AVO;S2TS-ZON-033;Secc.02-10-06;42+868;6568;
191;1;S2TN-BIE-065;S2TN-BIE-065;S2TN-BIE-065;AVO;;Secc.03-11-09;42+868;6568;
192;1;S2TS-BIE-067;S2TS-BIE-067;S2TS-BIE-067;AVO;S2TS-ZON-033;Secc.02-10-06;42+968;6668;
193;1;S2TN-BIE-067;S2TN-BIE-067;S2TN-BIE-067;AVO;;Secc.03-11-10;42+968;6668;
194;1;S2TS-BIE-069;S2TS-BIE-069;S2TS-BIE-069;AVO;S2TS-ZON-034;Secc.02-10-06;43+068;6768;
195;1;S2TN-BIE-069;S2TN-BIE-069;S2TN-BIE-069;AVO;;Secc.03-11-10;43+068;6768;
196;1;S2TS-BIE-071;S2TS-BIE-071;S2TS-BIE-071;AVO;S2TS-ZON-036;Secc.02-10-06;43+168;6868;
197;1;S2TN-BIE-071;S2TN-BIE-071;S2TN-BIE-071;AVO;;Secc.03-11-10;43+168;6868;
198;1;S2TS-BIE-073;S2TS-BIE-073;S2TS-BIE-073;AVO;S2TS-ZON-037;Secc.02-10-06;43+268;6968;
199;1;S2TN-BIE-073;S2TN-BIE-073;S2TN-BIE-073;AVO;;Secc.03-11-09;43+268;6968;
200;1;S2TS-BIE-075;S2TS-BIE-075;S2TS-BIE-075;AVO;S2TS-ZON-038;Secc.02-10-06;43+368;7068;
201;1;S2TN-BIE-075;S2TN-BIE-075;S2TN-BIE-075;AVO;;Secc.03-11-09;43+368;7068;
202;1;IBTO-BIE-003;IBTO-BIE-003;IBTO-BIE-003;AVO;;Secc.03-255-08;7+155;7155;
203;1;S2TS-BIE-077;S2TS-BIE-077;S2TS-BIE-077;AVO;S2TS-ZON-038;Secc.02-10-06;43+468;7168;
204;1;S2TN-BIE-077;S2TN-BIE-077;S2TN-BIE-077;AVO;;Secc.03-11-09;43+468;7168;
205;1;IBTO-BIE-001;IBTO-BIE-001;IBTO-BIE-001;AVO;;Secc.03-255-08;7+240;7240;
206;1;S2TS-BIE-079;S2TS-BIE-079;S2TS-BIE-079;AVO;S2TS-ZON-039;Secc.02-10-07;43+568;7268;
207;1;S2TN-BIE-079;S2TN-BIE-079;S2TN-BIE-079;AVO;;Secc.03-11-09;43+568;7268;
208;1;S2TS-BIE-081;S2TS-BIE-081;S2TS-BIE-081;AVO;S2TS-ZON-041;Secc.02-10-07;43+668;7368;
209;1;S2TN-BIE-081;S2TN-BIE-081;S2TN-BIE-081;AVO;;Secc.03-11-09;43+668;7368;
210;1;S2TS-BIE-083;S2TS-BIE-083;S2TS-BIE-083;AVO;S2TS-ZON-042;Secc.02-10-07;43+768;7468;
211;1;S2TN-BIE-083;S2TN-BIE-083;S2TN-BIE-083;AVO;;Secc.03-11-09;43+768;7468;
212;1;S2TS-BIE-085;S2TS-BIE-085;S2TS-BIE-085;AVO;S2TS-ZON-043;Secc.02-10-07;43+868;7568;
213;1;S2TN-BIE-085;S2TN-BIE-085;S2TN-BIE-085;AVO;;Secc.03-11-09;43+868;7568;
214;1;S2TS-BIE-087;S2TS-BIE-087;S2TS-BIE-087;AVO;S2TS-ZON-043;Secc.02-10-07;43+968;7668;
215;1;S2TN-BIE-087;S2TN-BIE-087;S2TN-BIE-087;AVO;;Secc.03-11-09;43+968;7668;
216;1;S2TS-BIE-089;S2TS-BIE-089;S2TS-BIE-089;AVO;S2TS-ZON-045;Secc.02-10-07;44+068;7768;
217;1;S2TN-BIE-089;S2TN-BIE-089;S2TN-BIE-089;AVO;;Secc.03-11-08;44+068;7768;
218;1;S2TS-BIE-091;S2TS-BIE-091;S2TS-BIE-091;AVO;S2TS-ZON-046;Secc.02-10-07;44+168;7868;
219;1;S2TN-BIE-091;S2TN-BIE-091;S2TN-BIE-091;AVO;;Secc.03-11-08;44+168;7868;
220;1;S2TS-BIE-093;S2TS-BIE-093;S2TS-BIE-093;AVO;S2TS-ZON-047;Secc.02-10-07;44+268;7968;
221;1;S2TN-BIE-093;S2TN-BIE-093;S2TN-BIE-093;AVO;;Secc.03-11-08;44+268;7968;
222;1;SBTP-BIE-001;SBTP-BIE-001;SBTP-BIE-001;AVO;SBTP-ZON-001;Secc.02-257-07;8+020;8020;
223;1;S2TS-BIE-095;S2TS-BIE-095;S2TS-BIE-095;AVO;S2TS-ZON-047;Secc.02-10-07;44+368;8068;
224;1;S2TN-BIE-095;S2TN-BIE-095;S2TN-BIE-095;AVO;;Secc.03-11-08;44+368;8068;
225;1;SBTP-BIE-003;SBTP-BIE-003;SBTP-BIE-003;AVO;SBTP-ZON-001;Secc.02-257-07;8+120;8120;
226;1;S2TS-BIE-097;S2TS-BIE-097;S2TS-BIE-097;AVO;S2TS-ZON-048;Secc.02-10-07;44+468;8168;
227;1;S2TN-BIE-097;S2TN-BIE-097;S2TN-BIE-097;AVO;;Secc.03-11-08;44+468;8168;
228;1;SBTP-BIE-005;SBTP-BIE-005;SBTP-BIE-005;AVO;SBTP-ZON-002;Secc.02-257-07;8+220;8220;
229;1;S2TS-BIE-099;S2TS-BIE-099;S2TS-BIE-099;AVO;S2TS-ZON-049;Secc.02-10-07;44+568;8268;
230;1;S2TN-BIE-099;S2TN-BIE-099;S2TN-BIE-099;AVO;;Secc.03-11-08;44+568;8268;
231;2;SNKP-BIE-001;SNKP-BIE-001;SNKP-BIE-001;AVO;;Secc.03-43-11;0+030;30;
232;2;SNKO-BIE-001;SNKO-BIE-001;SNKO-BIE-001;AVO;;Secc.03-45-11;0+040;40;
233;2;SICO-BIE-001;SICO-BIE-001;SICO-BIE-001;AVO;SICO-ZON-001;Secc.02-260-06;0+100;100;
234;2;INKO-BIE-003;INKO-BIE-003;INKO-BIE-003;AVO;;Secc.03-42-11;0+100;100;
235;2;SNKP-BIE-003;SNKP-BIE-003;SNKP-BIE-003;AVO;;Secc.03-43-11;0+130;130;
236;2;SNKO-BIE-003;SNKO-BIE-003;SNKO-BIE-003;AVO;;Secc.03-45-11;0+140;140;
237;1;SMPN-BIE-002;SMPN-BIE-002;SMPN-BIE-002;AVO;SMPN-ZON-001;Secc.02-303-05;0+150;150;
238;2;SICO-BIE-003;SICO-BIE-003;SICO-BIE-003;AVO;SICO-ZON-001;Secc.02-260-06;0+200;200;
239;2;INKO-BIE-001;INKO-BIE-001;INKO-BIE-001;AVO;;Secc.03-42-11;0+200;200;
240;2;SMPS-BIE-002;SMPS-BIE-002;SMPS-BIE-002;AVO;;Secc.03-252-10;0+210;210;
242;2;SNKP-BIE-005;SNKP-BIE-005;SNKP-BIE-005;AVO;;Secc.03-43-11;0+230;230;
243;2;SNKO-BIE-005;SNKO-BIE-005;SNKO-BIE-005;AVO;;Secc.03-45-11;0+240;240;
244;1;SMPN-BIE-004;SMPN-BIE-004;SMPN-BIE-004;AVO;SMPN-ZON-003;Secc.02-303-05;0+250;250;
245;2;SAPR-BIE-002;SAPR-BIE-002;SAPR-BIE-002;AVO;;Secc.03-253-10;0+270;270;
246;2;SNKP-BIE-006;SNKP-BIE-006;SNKP-BIE-006;AVO;;Secc.03-43-11;0+280;280;
247;2;SNKO-BIE-006;SNKO-BIE-006;SNKO-BIE-006;AVO;;Secc.03-45-11;0+280;280;
248;2;ICNP-BIE-011;ICNP-BIE-011;ICNP-BIE-011;AVO;ICNP-ZON-006;Secc.02-47-04;0+280;280;
249;2;SICO-BIE-005;SICO-BIE-005;SICO-BIE-005;AVO;SICO-ZON-002;Secc.02-260-06;0+300;300;
250;2;SMPS-BIE-004;SMPS-BIE-004;SMPS-BIE-004;AVO;;Secc.03-252-10;0+310;310;
251;2;INKP-BIE-015;INKP-BIE-015;INKP-BIE-015;AVO;;Secc.02-29-04;0+350;350;
252;2;ICNP-BIE-009;ICNP-BIE-009;ICNP-BIE-009;AVO;ICNP-ZON-006;Secc.02-47-04;0+370;370;
253;2;SICO-BIE-007;SICO-BIE-007;SICO-BIE-007;AVO;SICO-ZON-003;Secc.02-260-06;0+400;400;
254;2;INKP-BIE-014;INKP-BIE-014;INKP-BIE-014;AVO;;Secc.02-29-04;0+400;400;
255;2;SMPN-BIE-007;SMPN-BIE-007;SMPN-BIE-007;AVO;;Secc.02-303-05;0+410;410;
256;2;ICNP-BIE-007;ICNP-BIE-007;ICNP-BIE-007;AVO;ICNP-ZON-005;Secc.02-47-04;0+470;470;
257;2;INKP-BIE-012;INKP-BIE-012;INKP-BIE-012;AVO;;Secc.02-29-04;0+500;500;
258;2;SMPN-BIE-009;SMPN-BIE-009;SMPN-BIE-009;AVO;;Secc.02-303-05;0+510;510;
259;1;SMPN-BIE-010;SMPN-BIE-010;SMPN-BIE-010;AVO;;Secc.02-303-05;0+560;560;
260;2;ICNP-BIE-005;ICNP-BIE-005;ICNP-BIE-005;AVO;ICNP-ZON-003;Secc.02-47-04;0+570;570;
