item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
308;2;S2TS-BIE-036;S2TS-BIE-036;S2TS-BIE-036;AVO;S2TS-ZON-018;Secc.02-10-04;41+420;5120;
309;2;S2TN-BIE-036;S2TN-BIE-036;S2TN-BIE-036;AVO;;Secc.03-11-11;41+420;5120;
310;2;ICCO-BIE-005;ICCO-BIE-005;ICCO-BIE-005;AVO;;Secc.03-258-09;5+120;5120;
311;2;S2TS-BIE-038;S2TS-BIE-038;S2TS-BIE-038;AVO;S2TS-ZON-019;Secc.02-10-05;41+520;5220;
312;2;S2TN-BIE-038;S2TN-BIE-038;S2TN-BIE-038;AVO;;Secc.03-11-11;41+520;5220;
313;2;ICCO-BIE-003;ICCO-BIE-003;ICCO-BIE-003;AVO;;Secc.03-258-09;5+220;5220;
314;2;S2TS-BIE-040;S2TS-BIE-040;S2TS-BIE-040;AVO;S2TS-ZON-020;Secc.02-10-05;41+620;5320;
315;2;S2TN-BIE-040;S2TN-BIE-040;S2TN-BIE-040;AVO;;Secc.03-11-11;41+620;5320;
316;2;ICCO-BIE-001;ICCO-BIE-001;ICCO-BIE-001;AVO;;Secc.03-258-09;5+320;5320;
317;2;S2TS-BIE-042;S2TS-BIE-042;S2TS-BIE-042;AVO;S2TS-ZON-021;Secc.02-10-05;41+720;5420;
318;2;S2TN-BIE-042;S2TN-BIE-042;S2TN-BIE-042;AVO;;Secc.03-11-11;41+720;5420;
319;2;S2TS-BIE-044;S2TS-BIE-044;S2TS-BIE-044;AVO;S2TS-ZON-022;Secc.02-10-05;41+820;5520;
320;2;S2TN-BIE-044;S2TN-BIE-044;S2TN-BIE-044;AVO;;Secc.03-11-09;41+820;5520;
321;2;S2TS-BIE-046;S2TS-BIE-046;S2TS-BIE-046;AVO;S2TS-ZON-023;Secc.02-10-05;41+918;5618;
322;2;S2TN-BIE-046;S2TN-BIE-046;S2TN-BIE-046;AVO;;Secc.03-11-11;41+918;5618;
323;2;S2TS-BIE-048;S2TS-BIE-048;S2TS-BIE-048;AVO;S2TS-ZON-024;Secc.02-10-05;42+018;5718;
324;2;S2TN-BIE-048;S2TN-BIE-048;S2TN-BIE-048;AVO;;Secc.03-11-11;42+018;5718;
325;2;S2TS-BIE-050;S2TS-BIE-050;S2TS-BIE-050;AVO;S2TS-ZON-025;Secc.02-10-05;42+118;5818;
326;2;S2TN-BIE-050;S2TN-BIE-050;S2TN-BIE-050;AVO;;Secc.03-11-10;42+118;5818;
327;2;S2TS-BIE-052;S2TS-BIE-052;S2TS-BIE-052;AVO;S2TS-ZON-026;Secc.02-10-05;42+218;5918;
328;2;S2TN-BIE-052;S2TN-BIE-052;S2TN-BIE-052;AVO;;Secc.03-11-10;42+218;5918;
329;2;S2TS-BIE-054;S2TS-BIE-054;S2TS-BIE-054;AVO;S2TS-ZON-027;Secc.02-10-05;42+318;6018;
330;2;S2TN-BIE-054;S2TN-BIE-054;S2TN-BIE-054;AVO;;Secc.03-11-10;42+318;6018;
331;2;S2TS-BIE-056;S2TS-BIE-056;S2TS-BIE-056;AVO;S2TS-ZON-028;Secc.02-10-05;42+418;6118;
332;2;S2TN-BIE-056;S2TN-BIE-056;S2TN-BIE-056;AVO;;Secc.03-11-10;42+418;6118;
333;2;ICCP-BIE-002;ICCP-BIE-002;ICCP-BIE-002;AVO;ICCP-ZON-003;Secc.02-256-07;6+170;6170;
334;2;S2TS-BIE-058;S2TS-BIE-058;S2TS-BIE-058;AVO;S2TS-ZON-029;Secc.02-10-05;42+518;6218;
335;2;S2TN-BIE-058;S2TN-BIE-058;S2TN-BIE-058;AVO;;Secc.03-11-11;42+518;6218;
336;2;ICCP-BIE-004;ICCP-BIE-004;ICCP-BIE-004;AVO;ICCP-ZON-002;Secc.02-256-07;6+270;6270;
337;2;S2TS-BIE-060;S2TS-BIE-060;S2TS-BIE-060;AVO;S2TS-ZON-030;Secc.02-10-06;42+618;6318;
338;2;S2TN-BIE-060;S2TN-BIE-060;S2TN-BIE-060;AVO;;Secc.03-11-10;42+618;6318;
339;2;S2TS-BIE-062;S2TS-BIE-062;S2TS-BIE-062;AVO;S2TS-ZON-031;Secc.02-10-06;42+718;6418;
340;2;S2TN-BIE-062;S2TN-BIE-062;S2TN-BIE-062;AVO;;Secc.03-11-10;42+718;6418;
341;2;S2TS-BIE-064;S2TS-BIE-064;S2TS-BIE-064;AVO;;Secc.02-10-06;42+818;6518;
342;2;S2TN-BIE-064;S2TN-BIE-064;S2TN-BIE-064;AVO;;Secc.03-11-10;42+818;6518;
343;2;S2TS-BIE-066;S2TS-BIE-066;S2TS-BIE-066;AVO;S2TS-ZON-033;Secc.02-10-06;42+918;6618;
344;2;S2TN-BIE-066;S2TN-BIE-066;S2TN-BIE-066;AVO;;Secc.03-11-10;42+918;6618;
345;2;S2TS-BIE-068;S2TS-BIE-068;S2TS-BIE-068;AVO;S2TS-ZON-034;Secc.02-10-06;43+018;6718;
346;2;S2TN-BIE-068;S2TN-BIE-068;S2TN-BIE-068;AVO;;Secc.03-11-10;43+018;6718;
347;2;S2TS-BIE-070;S2TS-BIE-070;S2TS-BIE-070;AVO;S2TS-ZON-035;Secc.02-10-06;43+118;6818;
348;2;S2TN-BIE-070;S2TN-BIE-070;S2TN-BIE-070;AVO;;Secc.03-11-10;43+118;6818;
349;2;S2TS-BIE-072;S2TS-BIE-072;S2TS-BIE-072;AVO;S2TS-ZON-036;Secc.02-10-06;43+218;6918;
350;2;S2TN-BIE-072;S2TN-BIE-072;S2TN-BIE-072;AVO;;Secc.03-11-09;43+218;6918;
351;2;S2TS-BIE-074;S2TS-BIE-074;S2TS-BIE-074;AVO;S2TS-ZON-037;Secc.02-10-06;43+318;7018;
352;2;S2TN-BIE-074;S2TN-BIE-074;S2TN-BIE-074;AVO;;Secc.03-11-09;43+318;7018;
353;2;S2TS-BIE-076;S2TS-BIE-076;S2TS-BIE-076;AVO;S2TS-ZON-038;Secc.02-10-06;43+418;7118;
354;2;S2TN-BIE-076;S2TN-BIE-076;S2TN-BIE-076;AVO;;Secc.03-11-09;43+418;7118;
355;2;IBTO-BIE-002;IBTO-BIE-002;IBTO-BIE-002;AVO;;Secc.03-255-08;7+200;7200;
356;2;S2TS-BIE-078;S2TS-BIE-078;S2TS-BIE-078;AVO;S2TS-ZON-039;Secc.02-10-06;43+518;7218;
357;2;S2TN-BIE-078;S2TN-BIE-078;S2TN-BIE-078;AVO;;Secc.03-11-09;43+518;7218;
358;2;S2TS-BIE-080;S2TS-BIE-080;S2TS-BIE-080;AVO;S2TS-ZON-040;Secc.02-10-07;43+618;7318;
359;2;S2TN-BIE-080;S2TN-BIE-080;S2TN-BIE-080;AVO;;Secc.03-11-09;43+618;7318;
360;2;S2TS-BIE-082;S2TS-BIE-082;S2TS-BIE-082;AVO;S2TS-ZON-042;Secc.02-10-07;43+718;7418;
361;2;S2TN-BIE-082;S2TN-BIE-082;S2TN-BIE-082;AVO;;Secc.03-11-09;43+718;7418;
362;2;S2TS-BIE-084;S2TS-BIE-084;S2TS-BIE-084;AVO;S2TS-ZON-042;Secc.02-10-07;43+818;7518;
363;2;S2TN-BIE-084;S2TN-BIE-084;S2TN-BIE-084;AVO;;Secc.03-11-09;43+818;7518;
364;2;S2TS-BIE-086;S2TS-BIE-086;S2TS-BIE-086;AVO;S2TS-ZON-043;Secc.02-10-07;43+918;7618;
365;2;S2TN-BIE-086;S2TN-BIE-086;S2TN-BIE-086;AVO;;Secc.03-11-09;43+918;7618;
366;2;S2TS-BIE-088;S2TS-BIE-088;S2TS-BIE-088;AVO;S2TS-ZON-044;Secc.02-10-07;44+018;7718;
367;2;S2TN-BIE-088;S2TN-BIE-088;S2TN-BIE-088;AVO;;Secc.03-11-08;44+018;7718;
368;2;S2TS-BIE-090;S2TS-BIE-090;S2TS-BIE-090;AVO;S2TS-ZON-045;Secc.02-10-07;44+118;7818;
369;2;S2TN-BIE-090;S2TN-BIE-090;S2TN-BIE-090;AVO;;Secc.03-11-08;44+118;7818;
370;2;S2TS-BIE-092;S2TS-BIE-092;S2TS-BIE-092;AVO;S2TS-ZON-046;Secc.02-10-07;44+218;7918;
371;2;S2TN-BIE-092;S2TN-BIE-092;S2TN-BIE-092;AVO;;Secc.03-11-08;44+218;7918;
372;2;S2TS-BIE-094;S2TS-BIE-094;S2TS-BIE-094;AVO;S2TS-ZON-047;Secc.02-10-07;44+318;8018;
373;2;S2TN-BIE-094;S2TN-BIE-094;S2TN-BIE-094;AVO;;Secc.03-11-08;44+318;8018;
374;2;SBTP-BIE-002;SBTP-BIE-002;SBTP-BIE-002;AVO;SBTP-ZON-001;Secc.02-257-07;8+070;8070;
375;2;S2TS-BIE-096;S2TS-BIE-096;S2TS-BIE-096;AVO;S2TS-ZON-048;Secc.02-10-07;44+418;8118;
376;2;S2TN-BIE-096;S2TN-BIE-096;S2TN-BIE-096;AVO;;Secc.03-11-08;44+418;8118;
377;2;SBTP-BIE-004;SBTP-BIE-004;SBTP-BIE-004;AVO;SBTP-ZON-002;Secc.02-257-07;8+170;8170;
378;2;S2TS-BIE-098;S2TS-BIE-098;S2TS-BIE-098;AVO;S2TS-ZON-049;Secc.02-10-07;44+518;8218;
379;2;S2TN-BIE-098;S2TN-BIE-098;S2TN-BIE-098;AVO;;Secc.03-11-08;44+518;8218;
380;2;SBTP-BIE-006;SBTP-BIE-006;SBTP-BIE-006;AVO;SBTP_EXT;Secc.02-257-07;8+270;8270;
381;1;SNUK-BIE-001;SNUK-BIE-001;SNUK-BIE-001;AVO;SNUK-ZON-001;Secc.03-45-11;0+180;180;
382;2;SNUK-BIE-002;SNUK-BIE-002;SNUK-BIE-002;AVO;SNUK-ZON-002;Secc.03-45-11;0+220;220;
383;1;SNUK-BIE-003;SNUK-BIE-003;SNUK-BIE-003;AVO;SNUK-ZON-002;Secc.03-45-11;0+270;270;
384;1;SICO-BIE-008;SICO-BIE-008;SICO-BIE-008;AVO;SICO-ZON-003;Secc.02-260-06;0+450;450;
385;2;IBTO-BIE-004;IBTO-BIE-004;IBTO-BIE-004;AVO;IBTO-ZON-003;Secc.03-255-08;7+200;7200;
