item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;param1_direction;param2_order;param3_mask_validation;param4_delay;sentido
1;1;S1TS-E+P-001;S1TS-E+P-001;S1TS-E+P-001;AVO;S1TS-ZON-001;Secc.01-10-01;37+050;750;;1;0;3;
2;1;S1TS-E+P-002;S1TS-E+P-002;S1TS-E+P-002;AVO;S1TS-ZON-001;Secc.01-10-01;37+050;750;;2;0;3;
3;1;S1TS-E+P-003;S1TS-E+P-003;S1TS-E+P-003;AVO;S1TS-ZON-001;Secc.01-10-01;37+050;750;;3;0;3;
4;1;S1TN-E+P-004;S1TN-E+P-004;S1TN-E+P-004;AVO;S1TN_EXT;Secc.01-11-13;37+085;785;;1;0;3;
5;1;S1TN-E+P-005;S1TN-E+P-005;S1TN-E+P-005;AVO;S1TN_EXT;Secc.01-11-13;37+085;785;;2;0;3;
6;1;S1TN-E+P-006;S1TN-E+P-006;S1TN-E+P-006;AVO;S1TN_EXT;Secc.01-11-13;37+085;785;;3;0;3;
7;1;S1TS-E+P-004;S1TS-E+P-004;S1TS-E+P-004;AVO;S1TS-ZON-017;Secc.01-10-02;38+550;2250;;1;0;3;
8;1;S1TS-E+P-005;S1TS-E+P-005;S1TS-E+P-005;AVO;S1TS-ZON-017;Secc.01-10-02;38+550;2250;;2;0;3;
9;1;S1TS-E+P-006;S1TS-E+P-006;S1TS-E+P-006;AVO;S1TS-ZON-017;Secc.01-10-02;38+550;2250;;3;0;3;
10;1;S1TN-E+P-001;S1TN-E+P-001;S1TN-E+P-001;AVO;S1TN_EXT;Secc.01-11-13;37+725;1425;;1;0;3;
11;1;S1TN-E+P-002;S1TN-E+P-002;S1TN-E+P-002;AVO;S1TN_EXT;Secc.01-11-13;37+725;1425;;2;0;3;
12;1;S1TN-E+P-003;S1TN-E+P-003;S1TN-E+P-003;AVO;S1TN_EXT;Secc.01-11-13;37+725;1425;;3;0;3;
13;1;S1TS-E+P-007;S1TS-E+P-007;S1TS-E+P-007;AVO;S1TS-ZON-022;Secc.01-10-03;39+050;2750;;1;0;3;
14;1;S1TS-E+P-008;S1TS-E+P-008;S1TS-E+P-008;AVO;S1TS-ZON-022;Secc.01-10-03;39+050;2750;;2;0;3;
15;1;S1TS-E+P-009;S1TS-E+P-009;S1TS-E+P-009;AVO;S1TS-ZON-022;Secc.01-10-03;39+050;2750;;3;0;3;
16;1;S2TN-E+P-001;S2TN-E+P-001;S2TN-E+P-001;AVO;S2TN-ZON-005;Secc.03-11-08;44+068;7768;;1;0;3;
17;1;S2TN-E+P-002;S2TN-E+P-002;S2TN-E+P-002;AVO;S2TN-ZON-005;Secc.03-11-08;44+068;7768;;2;0;3;
18;1;S2TN-E+P-003;S2TN-E+P-003;S2TN-E+P-003;AVO;S2TN-ZON-005;Secc.03-11-08;44+068;7768;;3;0;3;
19;1;S2TN-E+P-004;S2TN-E+P-004;S2TN-E+P-004;AVO;S2TN-ZON-014;Secc.03-11-10;43+268;6968;;1;0;3;
20;1;S2TN-E+P-005;S2TN-E+P-005;S2TN-E+P-005;AVO;S2TN-ZON-014;Secc.03-11-10;43+268;6968;;2;0;3;
21;1;S2TN-E+P-006;S2TN-E+P-006;S2TN-E+P-006;AVO;S2TN-ZON-014;Secc.03-11-10;43+268;6968;;3;0;3;
22;1;S2TN-E+P-007;S2TN-E+P-007;S2TN-E+P-007;AVO;S2TN-ZON-019;Secc.03-11-10;42+668;6368;;1;0;3;
