item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;param1_direction;param2_order;param3_mask_validation;param4_delay;sentido
23;1;S2TN-E+P-008;S2TN-E+P-008;S2TN-E+P-008;AVO;S2TN-ZON-019;Secc.03-11-10;42+668;6368;;2;0;3;
24;1;S2TN-E+P-009;S2TN-E+P-009;S2TN-E+P-009;AVO;S2TN-ZON-019;Secc.03-11-10;42+668;6368;;3;0;3;
25;1;S2TN-E+P-010;S2TN-E+P-010;S2TN-E+P-010;AVO;S2TN-ZON-025;Secc.03-11-10;42+068;5768;;1;0;3;
26;1;S2TN-E+P-011;S2TN-E+P-011;S2TN-E+P-011;AVO;S2TN-ZON-025;Secc.03-11-10;42+068;5768;;2;0;3;
27;1;S2TN-E+P-012;S2TN-E+P-012;S2TN-E+P-012;AVO;S2TN-ZON-025;Secc.03-11-10;42+068;5768;;3;0;3;
28;1;S2TN-E+P-013;S2TN-E+P-013;S2TN-E+P-013;AVO;S2TN-ZON-027;Secc.03-11-11;41+87;5570;;1;0;3;
29;1;S2TN-E+P-014;S2TN-E+P-014;S2TN-E+P-014;AVO;S2TN-ZON-027;Secc.03-11-11;41+87;5570;;2;0;3;
30;1;S2TN-E+P-015;S2TN-E+P-015;S2TN-E+P-015;AVO;S2TN-ZON-027;Secc.03-11-11;41+87;5570;;3;0;3;
31;1;S2TN-E+P-016;S2TN-E+P-016;S2TN-E+P-016;AVO;S2TN-ZON-034;Secc.02-10-07;41+27;4970;;1;0;3;
32;1;S2TN-E+P-017;S2TN-E+P-017;S2TN-E+P-017;AVO;S2TN-ZON-034;Secc.02-10-07;41+27;4970;;2;0;3;
33;1;S2TN-E+P-018;S2TN-E+P-018;S2TN-E+P-018;AVO;S2TN-ZON-034;Secc.02-10-07;41+27;4970;;3;0;3;
34;1;S2TN-E+P-019;S2TN-E+P-019;S2TN-E+P-019;AVO;S2TN-ZON-041;Secc.03-11-11;40+47;4170;;1;0;3;
35;1;S2TN-E+P-020;S2TN-E+P-020;S2TN-E+P-020;AVO;S2TN-ZON-041;Secc.03-11-11;40+47;4170;;2;0;3;
36;1;S2TN-E+P-021;S2TN-E+P-021;S2TN-E+P-021;AVO;S2TN-ZON-041;Secc.03-11-11;40+47;4170;;3;0;3;
37;1;S2TN-E+P-022;S2TN-E+P-022;S2TN-E+P-022;AVO;S1TN-ZON-001;Secc.03-11-11;39+665;3365;;1;0;3;
38;1;S2TN-E+P-023;S2TN-E+P-023;S2TN-E+P-023;AVO;S1TN-ZON-001;Secc.03-11-11;39+665;3365;;2;0;3;
39;1;S2TN-E+P-024;S2TN-E+P-024;S2TN-E+P-024;AVO;S1TN-ZON-001;Secc.03-11-11;39+665;3365;;3;0;3;
40;1;IVEN-E+P-001;IVEN-E+P-001;IVEN-E+P-001;AVO;IVEN_EXT;Secc.01-09-15;35+610;2250;;1;0;3;
41;1;IVEN-E+P-002;IVEN-E+P-002;IVEN-E+P-002;AVO;IVEN_EXT;Secc.01-09-15;35+610;2250;;2;0;3;
42;1;S2TS-E+P-001;S2TS-E+P-001;S2TS-E+P-001;AVO;S2TS-ZON-004;Secc.01-10-03;39+97;3670;;1;0;3;
43;1;S2TS-E+P-002;S2TS-E+P-002;S2TS-E+P-002;AVO;S2TS-ZON-004;Secc.01-10-03;39+97;3670;;2;0;3;
44;1;S2TS-E+P-003;S2TS-E+P-003;S2TS-E+P-003;AVO;S2TS-ZON-004;Secc.01-10-03;39+97;3670;;3;0;3;
45;1;S2TS-E+P-004;S2TS-E+P-004;S2TS-E+P-004;AVO;S2TS-ZON-014;Secc.02-10-04;40+97;4670;;1;0;3;
46;1;S2TS-E+P-005;S2TS-E+P-005;S2TS-E+P-005;AVO;S2TS-ZON-014;Secc.02-10-04;40+97;4670;;2;0;3;
47;1;S2TS-E+P-006;S2TS-E+P-006;S2TS-E+P-006;AVO;S2TS-ZON-014;Secc.02-10-04;40+97;4670;;3;0;3;
48;1;S2TS-E+P-007;S2TS-E+P-007;S2TS-E+P-007;AVO;S2TS-ZON-021;Secc.02-10-05;41+67;5370;;1;0;3;
49;1;S2TS-E+P-008;S2TS-E+P-008;S2TS-E+P-008;AVO;S2TS-ZON-021;Secc.02-10-05;41+67;5370;;2;0;3;
50;1;S2TS-E+P-009;S2TS-E+P-009;S2TS-E+P-009;AVO;S2TS-ZON-021;Secc.02-10-05;41+67;5370;;3;0;3;
51;1;S2TS-E+P-010;S2TS-E+P-010;S2TS-E+P-010;AVO;S2TS-ZON-033;Secc.02-10-06;42+868;6568;;1;0;3;
52;1;S2TS-E+P-011;S2TS-E+P-011;S2TS-E+P-011;AVO;S2TS-ZON-033;Secc.02-10-06;42+868;6568;;2;0;3;
53;1;S2TS-E+P-012;S2TS-E+P-012;S2TS-E+P-012;AVO;S2TS-ZON-033;Secc.02-10-06;42+868;6568;;3;0;3;
54;1;S2TS-E+P-013;S2TS-E+P-013;S2TS-E+P-013;AVO;S2TS-ZON-044;Secc.02-10-07;43+968;7668;;1;0;3;
55;1;S2TS-E+P-014;S2TS-E+P-014;S2TS-E+P-014;AVO;S2TS-ZON-044;Secc.02-10-07;43+968;7668;;2;0;3;
56;1;S2TS-E+P-015;S2TS-E+P-015;S2TS-E+P-015;AVO;S2TS-ZON-044;Secc.02-10-07;43+935;7635;;3;0;3;
57;1;S2TS-E+P-016;S2TS-E+P-016;S2TS-E+P-016;AVO;S2TS-ZON-047;Secc.02-10-07;44+368;8068;;1;0;3;
58;1;S2TS-E+P-017;S2TS-E+P-017;S2TS-E+P-017;AVO;S2TS-ZON-047;Secc.02-10-07;44+368;8068;;2;0;3;
59;1;S2TS-E+P-018;S2TS-E+P-018;S2TS-E+P-018;AVO;S2TS-ZON-047;Secc.02-10-07;44+368;8068;;3;0;3;
