item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;3;EM-1;EM-1;EM-1;Autovía;MEXICO;;;;
2;3;EM-2;EM-2;EM-2;Autovía;MEXICO;;;;
