item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;SCNJS.5;SCNJS.5;SCNJS.5;D4;D4_3:Ketelec-Rovinca;;13+185;P;SIEMENS;LOGO! 12/24 RCEo
2;SCNJS.4;SCNJS.4;SCNJS.4;D4;D4_3:Ketelec-Rovinca;;11+097;P;SIEMENS;LOGO! 12/24 RCEo
3;SCNJS.3;SCNJS.3;SCNJS.3;D4;D4_3:Ketelec-Rovinca;;9+103;L;SIEMENS;LOGO! 12/24 RCEo
4;SCNKD.1;SCNKD.1;SCNKD.1;R7;R7_2:Ketelec-Dunajská Lužná;;6+668;L;SIEMENS;LOGO! 12/24 RCEo
5;SCNKD.2;SCNKD.2;SCNKD.2;R7;R7_2:Ketelec-Dunajská Lužná;;9+807;P;SIEMENS;LOGO! 12/24 RCEo
6;SCNKD.3;SCNKD.3;SCNKD.3;R7;R7_2:Ketelec-Dunajská Lužná;;13+018;P;SIEMENS;LOGO! 12/24 RCEo
7;SCNJS.6;SCNJS.6;SCNJS.6;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+588;P;SIEMENS;LOGO! 12/24 RCEo
8;SCNJS.7;SCNJS.7;SCNJS.7;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+586;P;SIEMENS;LOGO! 12/24 RCEo
9;SCNSR.1;SCNSR.1;SCNSR.1;D4;D4_7:Ivanka sever-Cierna voda;;0+333;P;SIEMENS;LOGO! 12/24 RCEo
10;SCNSR.2;SCNSR.2;SCNSR.2;D4;D4_8:Cierna voda-Raca;;1+828;P;SIEMENS;LOGO! 12/24 RCEo
11;SCNSR.3;SCNSR.3;SCNSR.3;D4;D4_8:Cierna voda-Raca;;4+23;P;SIEMENS;LOGO! 12/24 RCEo
12;SCNMP.1;SCNMP.1;SCNMP.1;R7;R7_1:Prievoz-Ketelec;;0+110;-;SIEMENS;LOGO! 12/24 RCEo
13;SCNPK.1;SCNPK.1;SCNPK.1;R7;R7_1:Prievoz-Ketelec;;1+065;L;SIEMENS;LOGO! 12/24 RCEo
14;SCNJS.1;SCNJS.1;SCNJS.1;D4;D4_1:Jarovce-Rusovce;;D4_1;P;SIEMENS;LOGO! 12/24 RCEo
15;SCNJS.2;SCNJS.2;SCNJS.2;D4;D4_2:Rusovce-Ketelec;;4+230;L;SIEMENS;LOGO! 12/24 RCEo
16;SCNPK.2;SCNPK.2;SCNPK.2;D4;R7_1:Prievoz-Ketelec;;4+153;L;SIEMENS;LOGO! 12/24 RCEo
