item;alias;description;sessionuid;road;stretchs;secc;pk;dm
349;UF-2E10-CAB-003;UF-2E10-CAB-003;UF-2E10-CAB-003;AVO;;Secc.03-11-11;41+415;5115
350;UF-ICNP-CAB-001;UF-ICNP-CAB-001;UF-ICNP-CAB-001;AVO;;Secc.03-11-11;41+415;5115
351;UF-ICNP-CAB-002;UF-ICNP-CAB-002;UF-ICNP-CAB-002;AVO;;Secc.03-11-11;41+415;5115
352;UF-ICNP-CAB-003;UF-ICNP-CAB-003;UF-ICNP-CAB-003;AVO;;Secc.03-11-11;41+415;5115
353;UF-ICNP-CAB-004;UF-ICNP-CAB-004;UF-ICNP-CAB-004;AVO;;Secc.03-11-11;41+415;5115
354;UF-ICNP-CAB-005;UF-ICNP-CAB-005;UF-ICNP-CAB-005;AVO;;Secc.03-11-11;41+415;5115
355;CC.13;CC.13;CC.13;AVO;;Secc.03-11-11;41+415;5115
356;CC.14;CC.14;CC.14;AVO;;Secc.03-11-11;41+415;5115
357;UF-S2TN-CAB-034;UF-S2TN-CAB-034;UF-S2TN-CAB-034;AVO;;Secc.03-11-11;41+415;5115
358;UF-S2TN-CAB-035;UF-S2TN-CAB-035;UF-S2TN-CAB-035;AVO;;Secc.03-11-11;41+415;5115
359;UF-S2TS-CAB-015;UF-S2TS-CAB-015;UF-S2TS-CAB-015;AVO;;Secc.03-11-11;41+415;5115
