item;alias;description;sessionuid;road;stretchs;secc;pk;dm
166;2E24-ELE-002.PEVPresb;2E24-ELE-002.PEVPresb;2E24-ELE-002.PEVPresb;AVO;;Secc.02-10-06;43+52;7220
167;UF-2E24-CAB-001;UF-2E24-CAB-001;UF-2E24-CAB-001;AVO;;Secc.02-10-06;43+52;7220
168;UF-2E24-CAB-002;UF-2E24-CAB-002;UF-2E24-CAB-002;AVO;;Secc.02-10-06;43+52;7220
169;UF-ICCP-AIM-001;UF-ICCP-AIM-001;UF-ICCP-AIM-001;AVO;;Secc.02-10-06;43+52;7220
170;UF-ICCP-CAB-001;UF-ICCP-CAB-001;UF-ICCP-CAB-001;AVO;;Secc.02-10-06;43+52;7220
171;UF-ICCP-CAB-002;UF-ICCP-CAB-002;UF-ICCP-CAB-002;AVO;;Secc.02-10-06;43+52;7220
172;UF-ICCP-CAB-003;UF-ICCP-CAB-003;UF-ICCP-CAB-003;AVO;;Secc.02-10-06;43+52;7220
173;CC.35;CC.35;CC.35;AVO;;Secc.02-10-06;43+52;7220
174;UF-S2TN-CAB-009;UF-S2TN-CAB-009;UF-S2TN-CAB-009;AVO;;Secc.02-10-06;43+52;7220
175;UF-S2TN-CAB-010;UF-S2TN-CAB-010;UF-S2TN-CAB-010;AVO;;Secc.02-10-06;43+52;7220
176;UF-S2TS-CAB-041;UF-S2TS-CAB-041;UF-S2TS-CAB-041;AVO;;Secc.02-10-06;43+52;7220
177;2E25-ELE-002.PEVPres;2E25-ELE-002.PEVPres;2E25-ELE-002.PEVPres;AVO;;Secc.02-10-06;43+52;7220
178;2E25-ELE-002.PEVPresb;2E25-ELE-002.PEVPresb;2E25-ELE-002.PEVPresb;AVO;;Secc.02-10-06;43+52;7220
179;UF-2E25-CAB-001;UF-2E25-CAB-001;UF-2E25-CAB-001;AVO;;Secc.02-10-06;43+52;7220
180;UF-2E25-CAB-002;UF-2E25-CAB-002;UF-2E25-CAB-002;AVO;;Secc.02-10-06;43+52;7220
181;UF-S2TN-CAB-007;UF-S2TN-CAB-007;UF-S2TN-CAB-007;AVO;;Secc.02-10-06;43+52;7220
182;UF-S2TN-CAB-008;UF-S2TN-CAB-008;UF-S2TN-CAB-008;AVO;;Secc.02-10-06;43+52;7220
183;UF-S2TS-CAB-042;UF-S2TS-CAB-042;UF-S2TS-CAB-042;AVO;;Secc.02-10-06;43+52;7220
184;UF-S2TS-CAB-043;UF-S2TS-CAB-043;UF-S2TS-CAB-043;AVO;;Secc.02-10-06;43+52;7220
186;1ES2-ELE-001.PEVPres;1ES2-ELE-001.PEVPres;1ES2-ELE-001.PEVPres;AVO;;Secc.02-10-05;42+58;6280
187;UF-S1TS-CAB-021;UF-S1TS-CAB-021;UF-S1TS-CAB-021;AVO;;Secc.02-10-05;42+58;6280
188;UF-1ES2-CAB-001;UF-1ES2-CAB-001;UF-1ES2-CAB-001;AVO;;Secc.02-10-05;42+58;6280
189;UF-S1TS-CAB-022;UF-S1TS-CAB-022;UF-S1TS-CAB-022;AVO;;Secc.02-10-05;42+58;6280
191;UF-SIGO-CAB-001;UF-SIGO-CAB-001;UF-SIGO-CAB-001;AVO;;Secc.02-10-05;42+58;6280
192;UF-SIGO-CAB-002;UF-SIGO-CAB-002;UF-SIGO-CAB-002;AVO;;Secc.02-10-05;42+58;6280
193;UF-S1TS-CAB-023;UF-S1TS-CAB-023;UF-S1TS-CAB-023;AVO;;Secc.02-10-05;42+58;6280
194;UF-S1TN-CAB-005;UF-S1TN-CAB-005;UF-S1TN-CAB-005;AVO;;Secc.02-10-05;42+58;6280
195;CC.07;CC.07;CC.07;AVO;;Secc.02-10-05;42+58;6280
196;UF-1ES3-CAB-002;UF-1ES3-CAB-002;UF-1ES3-CAB-002;AVO;;Secc.02-10-05;42+58;6280
197;UF-S1TS-CAB-024;UF-S1TS-CAB-024;UF-S1TS-CAB-024;AVO;;Secc.02-10-05;42+58;6280
198;UF-1ES3-CAB-001;UF-1ES3-CAB-001;UF-1ES3-CAB-001;AVO;;Secc.02-10-05;42+58;6280
199;UF-S1TN-CAB-004;UF-S1TN-CAB-004;UF-S1TN-CAB-004;AVO;;Secc.02-10-05;42+58;6280
200;UF-S1TS-CAB-025;UF-S1TS-CAB-025;UF-S1TS-CAB-025;AVO;;Secc.02-10-05;42+58;6280
201;2E22-ELE-002.PEVPres;2E22-ELE-002.PEVPres;2E22-ELE-002.PEVPres;AVO;;Secc.03-11-08;44+52;8220
202;2E22-ELE-002.PEVPresb;2E22-ELE-002.PEVPresb;2E22-ELE-002.PEVPresb;AVO;;Secc.03-11-08;44+52;8220
203;UF-2E22-CAB-001;UF-2E22-CAB-001;UF-2E22-CAB-001;AVO;;Secc.02-10-06;43+52;7220
204;UF-2E22-CAB-002;UF-2E22-CAB-002;UF-2E22-CAB-002;AVO;;Secc.02-10-06;43+52;7220
205;UF-S2TN-CAB-011;UF-S2TN-CAB-011;UF-S2TN-CAB-011;AVO;;Secc.02-10-06;43+52;7220
206;UF-S2TS-CAB-039;UF-S2TS-CAB-039;UF-S2TS-CAB-039;AVO;;Secc.02-10-06;43+52;7220
207;2E23-ELE-002.PEVPres;2E23-ELE-002.PEVPres;2E23-ELE-002.PEVPres;AVO;;Secc.03-11-08;44+52;8220
208;2E23-ELE-002.PEVPresb;2E23-ELE-002.PEVPresb;2E23-ELE-002.PEVPresb;AVO;;Secc.03-11-08;44+52;8220
209;UF-2E23-CAB-001;UF-2E23-CAB-001;UF-2E23-CAB-001;AVO;;Secc.02-10-06;43+52;7220
210;UF-2E23-CAB-002;UF-2E23-CAB-002;UF-2E23-CAB-002;AVO;;Secc.02-10-06;43+52;7220
211;UF-S2TS-CAB-040;UF-S2TS-CAB-040;UF-S2TS-CAB-040;AVO;;Secc.02-10-06;43+52;7220
212;2E14-ELE-002.PEVPres;2E14-ELE-002.PEVPres;2E14-ELE-002.PEVPres;AVO;;Secc.02-10-05;42+58;6280
213;2E14-ELE-002.PEVPresb;2E14-ELE-002.PEVPresb;2E14-ELE-002.PEVPresb;AVO;;Secc.02-10-05;42+58;6280
214;UF-2E14-CAB-001;UF-2E14-CAB-001;UF-2E14-CAB-001;AVO;;Secc.02-10-05;42+58;6280
215;UF-2E14-CAB-002;UF-2E14-CAB-002;UF-2E14-CAB-002;AVO;;Secc.02-10-05;42+58;6280
216;UF-S2TN-CAB-026;UF-S2TN-CAB-026;UF-S2TN-CAB-026;AVO;;Secc.02-10-05;42+58;6280
217;UF-S2TN-CAB-027;UF-S2TN-CAB-027;UF-S2TN-CAB-027;AVO;;Secc.02-10-05;42+58;6280
218;UF-S2TS-CAB-023;UF-S2TS-CAB-023;UF-S2TS-CAB-023;AVO;;Secc.02-10-05;42+58;6280
219;UF-S2TS-CAB-024;UF-S2TS-CAB-024;UF-S2TS-CAB-024;AVO;;Secc.02-10-05;42+58;6280
220;2E15-ELE-002.PEVPres;2E15-ELE-002.PEVPres;2E15-ELE-002.PEVPres;AVO;;Secc.02-10-05;42+58;6280
221;2E15-ELE-002.PEVPresb;2E15-ELE-002.PEVPresb;2E15-ELE-002.PEVPresb;AVO;;Secc.02-10-05;42+58;6280
222;UF-2E15-CAB-001;UF-2E15-CAB-001;UF-2E15-CAB-001;AVO;;Secc.02-10-05;42+58;6280
223;UF-2E15-CAB-002;UF-2E15-CAB-002;UF-2E15-CAB-002;AVO;;Secc.02-10-05;42+58;6280
224;UF-S2TN-CAB-024;UF-S2TN-CAB-024;UF-S2TN-CAB-024;AVO;;Secc.02-10-05;42+58;6280
225;UF-S2TN-CAB-025;UF-S2TN-CAB-025;UF-S2TN-CAB-025;AVO;;Secc.02-10-05;42+58;6280
226;UF-S2TS-CAB-025;UF-S2TS-CAB-025;UF-S2TS-CAB-025;AVO;;Secc.02-10-05;42+58;6280
227;UF-S2TS-CAB-026;UF-S2TS-CAB-026;UF-S2TS-CAB-026;AVO;;Secc.02-10-05;42+58;6280
228;CC.17;CC.17;CC.17;AVO;;Secc.02-10-06;43+52;7220
229;CC.18;CC.18;CC.18;AVO;;Secc.02-10-06;43+52;7220
230;UF-SMPS-CAB-001;UF-SMPS-CAB-001;UF-SMPS-CAB-001;AVO;;Secc.02-10-05;42+58;6280
231;UF-SMPS-CAB-002;UF-SMPS-CAB-002;UF-SMPS-CAB-002;AVO;;Secc.02-10-05;42+58;6280
232;UF-SMPN-CAB-003;UF-SMPN-CAB-003;UF-SMPN-CAB-003;AVO;;Secc.02-10-05;42+58;6280
233;UF-SMPN-CAB-004;UF-SMPN-CAB-004;UF-SMPN-CAB-004;AVO;;Secc.02-10-05;42+58;6280
234;2E16-ELE-002.PEVPres;2E16-ELE-002.PEVPres;2E16-ELE-002.PEVPres;AVO;;Secc.02-10-05;42+58;6280
235;2E16-ELE-002.PEVPresb;2E16-ELE-002.PEVPresb;2E16-ELE-002.PEVPresb;AVO;;Secc.02-10-05;42+58;6280
236;UF-2E16-CAB-001;UF-2E16-CAB-001;UF-2E16-CAB-001;AVO;;Secc.02-10-05;42+58;6280
237;UF-2E16-CAB-002;UF-2E16-CAB-002;UF-2E16-CAB-002;AVO;;Secc.02-10-05;42+58;6280
238;UF-S2TN-CAB-022;UF-S2TN-CAB-022;UF-S2TN-CAB-022;AVO;;Secc.02-10-05;42+58;6280
239;UF-S2TN-CAB-023;UF-S2TN-CAB-023;UF-S2TN-CAB-023;AVO;;Secc.02-10-05;42+58;6280
240;UF-S2TS-CAB-027;UF-S2TS-CAB-027;UF-S2TS-CAB-027;AVO;;Secc.02-10-05;42+58;6280
241;UF-S2TS-CAB-028;UF-S2TS-CAB-028;UF-S2TS-CAB-028;AVO;;Secc.02-10-05;42+58;6280
242;CC.31;CC.31;CC.31;AVO;;Secc.02-10-06;43+52;7220
243;2E19-ELE-002.PEVPres;2E19-ELE-002.PEVPres;2E19-ELE-002.PEVPres;AVO;;Secc.02-10-05;42+58;6280
244;2E19-ELE-002.PEVPresb;2E19-ELE-002.PEVPresb;2E19-ELE-002.PEVPresb;AVO;;Secc.02-10-05;42+58;6280
245;UF-2E19-CAB-001;UF-2E19-CAB-001;UF-2E19-CAB-001;AVO;;Secc.02-10-05;42+58;6280
246;UF-2E19-CAB-002;UF-2E19-CAB-002;UF-2E19-CAB-002;AVO;;Secc.02-10-05;42+58;6280
247;UF-S2TN-CAB-016;UF-S2TN-CAB-016;UF-S2TN-CAB-016;AVO;;Secc.02-10-05;42+58;6280
248;UF-S2TN-CAB-017;UF-S2TN-CAB-017;UF-S2TN-CAB-017;AVO;;Secc.02-10-05;42+58;6280
249;UF-S2TS-CAB-033;UF-S2TS-CAB-033;UF-S2TS-CAB-033;AVO;;Secc.02-10-05;42+58;6280
250;UF-S2TS-CAB-034;UF-S2TS-CAB-034;UF-S2TS-CAB-034;AVO;;Secc.02-10-05;42+58;6280
251;CC.19;CC.19;CC.19;AVO;;Secc.02-10-06;43+52;7220
252;2E17-ELE-002.PEVPres;2E17-ELE-002.PEVPres;2E17-ELE-002.PEVPres;AVO;;Secc.02-10-05;42+58;6280
253;2E17-ELE-002.PEVPresb;2E17-ELE-002.PEVPresb;2E17-ELE-002.PEVPresb;AVO;;Secc.02-10-05;42+58;6280
254;UF-2E17-CAB-001;UF-2E17-CAB-001;UF-2E17-CAB-001;AVO;;Secc.02-10-05;42+58;6280
255;UF-2E17-CAB-002;UF-2E17-CAB-002;UF-2E17-CAB-002;AVO;;Secc.02-10-05;42+58;6280
256;UF-ICCO-AIM-001;UF-ICCO-AIM-001;UF-ICCO-AIM-001;AVO;;Secc.02-10-05;42+58;6280
257;UF-ICCO-CAB-001;UF-ICCO-CAB-001;UF-ICCO-CAB-001;AVO;;Secc.02-10-05;42+58;6280
258;UF-ICCO-CAB-002;UF-ICCO-CAB-002;UF-ICCO-CAB-002;AVO;;Secc.02-10-05;42+58;6280
259;UF-S2TN-CAB-020;UF-S2TN-CAB-020;UF-S2TN-CAB-020;AVO;;Secc.02-10-05;42+58;6280
260;UF-S2TN-CAB-021;UF-S2TN-CAB-021;UF-S2TN-CAB-021;AVO;;Secc.02-10-05;42+58;6280
261;UF-S2TS-CAB-029;UF-S2TS-CAB-029;UF-S2TS-CAB-029;AVO;;Secc.02-10-05;42+58;6280
