Server_Name,PLC_IP,PLC_Port,HAProxy_Port,Docker_Port,Max_Connections
CT01,192.168.88.189,502,4001,4001,100
CT01,192.168.88.189,503,4001,4001,100
CT02,192.168.88.183,502,4002,4002,50
CT02,192.168.88.183,503,4002,4002,50
CT03,192.168.88.182,502,4003,4003,75
CT03,192.168.88.182,503,4003,4003,75
CT04,192.168.88.181,502,4004,4004,80
CT04,192.168.88.181,503,4004,4004,80
CT05,192.168.88.190,502,4005,4005,60
CT05,192.168.88.190,503,4005,4005,60
CT06,192.168.88.180,502,4006,4006,90
CT06,192.168.88.180,503,4006,4006,90
