device_name;session_uid;ct_upd;upd_state;plc_name;host;port(i);url_publisher;offset_state_prot(i);bit_state_prot(i);offset_cmd(i);offset_state(i)
AL.SE3-P1;AL.SE3-P1;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;0;22741;22736
AL.SE3-P2;AL.SE3-P2;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;1;22741;22736
AL.SE3-P3;AL.SE3-P3;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;2;22741;22736
AL.SE3-P4;AL.SE3-P4;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;3;22741;22736
AL.SE3-P5;AL.SE3-P5;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;4;22741;22736
AL.SE3-P6;AL.SE3-P6;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;5;22741;22736
AL.SE3-P7;AL.SE3-P7;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;6;22741;22736
AL.SE3-P8;AL.SE3-P8;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;7;22741;22736
AL.SE3-P9;AL.SE3-P9;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;8;22741;22736
AL.SE3-P10;AL.SE3-P10;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;9;22741;22736
AL.SE3-P11;AL.SE3-P11;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;10;22741;22736
AL.SE3-P12;AL.SE3-P12;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;11;22741;22736
AL.SE3-P13;AL.SE3-P13;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;12;22741;22736
AL.SE3-P14;AL.SE3-P14;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;13;22741;22736
AL.SE3-P15;AL.SE3-P15;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;14;22741;22736
AL.SE3-P16;AL.SE3-P16;PLC_CT03;upd_fail_ct03_2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;15;22741;22736
