device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_gate_open(i);bit(i)
2E22-ELE-002.SEAbiertaN1;2E22-ELE-002.SEAbiertaN1;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;3
2E23-ELE-002.SEAbiertaN1;2E23-ELE-002.SEAbiertaN1;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;4
2E23-ELE-002.SEAbiertaAux;2E23-ELE-002.SEAbiertaAux;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;5
2E24-ELE-002.SEAbiertaN1;2E24-ELE-002.SEAbiertaN1;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;6
2E24-ELE-002.SEAbiertaN2;2E24-ELE-002.SEAbiertaN2;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;7
2E25-ELE-002.SEAbiertaN1;2E25-ELE-002.SEAbiertaN1;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;8
2E25-ELE-002.SEAbiertaN2;2E25-ELE-002.SEAbiertaN2;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;9
2E28-ELE-002.SEAbiertaN1;2E28-ELE-002.SEAbiertaN1;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;10
2E28-ELE-002.SEAbiertaN2;2E28-ELE-002.SEAbiertaN2;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;11
2E29-ELE-002.SEAbiertaN1;2E29-ELE-002.SEAbiertaN1;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;12
2E29-ELE-002.SEAbiertaN2;2E29-ELE-002.SEAbiertaN2;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;8;13
