device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_avg_temperature(i);offset_alarm_zone(i);offset_fiber_fault(i);offset_fiber_failure_position(i);bit_zone(i);bit_fiber_fault(i)
S2TS-ZON-030;S2TS-ZON-030;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13464;13702;13710;13718;1;1
S2TS-ZON-031;S2TS-ZON-031;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13466;13702;13710;13718;2;2
S2TS-ZON-032;S2TS-ZON-032;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13468;13702;13710;13718;3;3
S2TS-ZON-033;S2TS-ZON-033;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13470;13702;13710;13718;4;4
S2TS-ZON-034;S2TS-ZON-034;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13472;13702;13710;13718;5;5
S2TS-ZON-035;S2TS-ZON-035;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13474;13702;13710;13718;6;6
S2TS-ZON-036;S2TS-ZON-036;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13476;13702;13710;13718;7;7
S2TS-ZON-037;S2TS-ZON-037;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13502;13703;13711;13718;4;4
SICO-ZON-001;SICO-ZON-001;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13480;13702;13710;13718;9;9
SICO-ZON-002;SICO-ZON-002;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13482;13702;13710;13718;10;10
SICO-ZON-003;SICO-ZON-003;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13484;13702;13710;13718;11;11
SICO-ZON-004;SICO-ZON-004;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13486;13702;13710;13718;12;12
S2TS-ZON-038;S2TS-ZON-038;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13504;13703;13711;13718;5;5
S2TS-ZON-039;S2TS-ZON-039;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13506;13703;13711;13718;6;6
S2TS-ZON-040;S2TS-ZON-040;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13508;13703;13711;13718;7;7
S2TS-ZON-041;S2TS-ZON-041;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13510;13703;13711;13718;8;8
S2TS-ZON-042;S2TS-ZON-042;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13532;13704;13712;13718;3;3
ICCP-ZON-001;ICCP-ZON-001;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13518;13703;13711;13718;12;12
ICCP-ZON-002;ICCP-ZON-002;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13520;13703;13711;13718;13;13
ICCP-ZON-003;ICCP-ZON-003;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13522;13703;13711;13718;14;14
S2TS-ZON-043;S2TS-ZON-043;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13562;13705;13713;13718;2;2
S2TS-ZON-044;S2TS-ZON-044;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13564;13705;13713;13718;3;3
S2TS-ZON-045;S2TS-ZON-045;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13566;13705;13713;13718;4;4
