device_name;session_uid;sos_electronic_fail;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i)
S1TS-BIE-005;S1TS-BIE-005;S1TS-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10000
S1TS-BIE-007;S1TS-BIE-007;S1TS-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10017
S1TS-BIE-009;S1TS-BIE-009;S1TS-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10034
S1TS-BIE-011;S1TS-BIE-011;S1TS-CAB-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10051
S1TS-BIE-013;S1TS-BIE-013;S1TS-CAB-006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10068
S1TS-BIE-015;S1TS-BIE-015;S1TS-CAB-007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10085
S1TS-BIE-017;S1TS-BIE-017;S1TS-CAB-008;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10102
SCNO-BIE-002;SCNO-BIE-002;SCNO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10119
SCNO-BIE-004;SCNO-BIE-004;SCNO-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10153
SCNO-BIE-006;SCNO-BIE-006;SCNO-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10170
SCNO-BIE-008;SCNO-BIE-008;SCNO-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10187
SCNO-BIE-010;SCNO-BIE-010;SCNO-CAB-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10221
S1TS-BIE-003;S1TS-BIE-003;S1TS-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10255
SCNO-BIE-012;SCNO-BIE-012;SCNO-CAB-006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10289
S1TS-BIE-019;S1TS-BIE-019;S1TS-CAB-009;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10357
S1TS-BIE-021;S1TS-BIE-021;S1TS-CAB-010;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10374
S1TS-BIE-023;S1TS-BIE-023;S1TS-CAB-011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT02_PLC_A;10.133.50.37;28008;monitor;;10408
