device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_light_status(i);offset_sem_power_off_fail(i);offset_sem_start_fail(i)
ICEP-SEM-RR-BAR-001;ICEP-SEM-RR-BAR-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_D;10.133.50.37;28004;monitor;;14400;14401;14401
S1TS-SEM-RR-BAR-002;S1TS-SEM-RR-BAR-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_D;10.133.50.37;28004;monitor;;14426;14427;14427
ICEO-SEM-RR-BAR-001;ICEO-SEM-RR-BAR-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_D;10.133.50.37;28004;monitor;;14452;14453;14453
IVEN-SEM-RR-BAR-001;IVEN-SEM-RR-BAR-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_D;10.133.50.37;28004;monitor;;14478;14479;14479
