device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
AL.SE4-S1;AL.SE4-S1;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE4-S2;AL.SE4-S2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE4-S3;AL.SE4-S3;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE4.2-S1;AL.SE4.2-S1;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE4.2-S2;AL.SE4.2-S2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE4-P1;AL.SE4-P1;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P2;AL.SE4-P2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P3;AL.SE4-P3;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P4;AL.SE4-P4;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P5;AL.SE4-P5;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P6;AL.SE4-P6;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P7;AL.SE4-P7;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P8;AL.SE4-P8;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P9;AL.SE4-P9;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P10;AL.SE4-P10;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4-P11;AL.SE4-P11;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4.2-P1;AL.SE4.2-P1;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4.2-P2;AL.SE4.2-P2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4.2-P3;AL.SE4.2-P3;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4.2-P4;AL.SE4.2-P4;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4.2-P5;AL.SE4.2-P5;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4.2-P6;AL.SE4.2-P6;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE4.2-P7;AL.SE4.2-P7;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
CT04-EMR-001;CT04-EMR-001;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
CT04-EMR-002;CT04-EMR-002;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
