device_name;PLC_name;PLC_host;PLC_port(i);CT_index;offset_alarmDAI(i);bit_alarmDAI(i)
SNKO-CAM-006;CT01_PLC_B;10.133.50.37;28002;CT01;5354;14
SMPN-CAM-006;CT01_PLC_B;10.133.50.37;28002;CT01;5354;15
SNKO-CAM-007;CT01_PLC_B;10.133.50.37;28002;CT01;5355;0
INKP-CAM-002;CT01_PLC_B;10.133.50.37;28002;CT01;5355;1
SNKO-CAM-008;CT01_PLC_B;10.133.50.37;28002;CT01;5355;2
ICNP-CAM-003;CT01_PLC_B;10.133.50.37;28002;CT01;5355;3
INKP-CAM-003;CT01_PLC_B;10.133.50.37;28002;CT01;5355;4
SNKO-CAM-009;CT01_PLC_B;10.133.50.37;28002;CT01;5355;5
ICNP-CAM-004;CT01_PLC_B;10.133.50.37;28002;CT01;5355;6
INKP-CAM-004;CT01_PLC_B;10.133.50.37;28002;CT01;5355;7
ICNP-CAM-005;CT01_PLC_B;10.133.50.37;28002;CT01;5355;8
INKP-CAM-005;CT01_PLC_B;10.133.50.37;28002;CT01;5355;9
INKP-CAM-006;CT01_PLC_B;10.133.50.37;28002;CT01;5355;10
INKP-CAM-007;CT01_PLC_B;10.133.50.37;28002;CT01;5355;11
INKP-CAM-008;CT01_PLC_B;10.133.50.37;28002;CT01;5355;12
INKP-CAM-009;CT01_PLC_B;10.133.50.37;28002;CT01;5355;13
SVIP-CAM-001;CT01_PLC_B;10.133.50.37;28002;CT01;5355;14
IVIP-CAM-001;CT01_PLC_B;10.133.50.37;28002;CT01;5355;15
IVIP-CAM-002;CT01_PLC_B;10.133.50.37;28002;CT01;5356;0
S2TN-CAM-048;CT01_PLC_B;10.133.50.37;28002;CT01;5356;1
S2TS-CAM-001;CT01_PLC_B;10.133.50.37;28002;CT01;5356;2
S2TN-CAM-047;CT01_PLC_B;10.133.50.37;28002;CT01;5356;3
S2TS-CAM-002;CT01_PLC_B;10.133.50.37;28002;CT01;5356;4
S2TN-CAM-046;CT01_PLC_B;10.133.50.37;28002;CT01;5356;5
S2TS-CAM-003;CT01_PLC_B;10.133.50.37;28002;CT01;5356;6
S2TN-CAM-045;CT01_PLC_B;10.133.50.37;28002;CT01;5356;7
S2TS-CAM-004;CT01_PLC_B;10.133.50.37;28002;CT01;5356;8
S2TN-CAM-044;CT01_PLC_B;10.133.50.37;28002;CT01;5356;9
S2TS-CAM-005;CT01_PLC_B;10.133.50.37;28002;CT01;5356;10
S2TN-CAM-043;CT01_PLC_B;10.133.50.37;28002;CT01;5356;11
S2TS-CAM-006;CT01_PLC_B;10.133.50.37;28002;CT01;5356;12
S2TN-CAM-042;CT01_PLC_B;10.133.50.37;28002;CT01;5356;13
S2TS-CAM-007;CT01_PLC_B;10.133.50.37;28002;CT01;5356;14
IPRO-CAM-001;CT01_PLC_B;10.133.50.37;28002;CT01;5356;15
S2TN-CAM-041;CT01_PLC_B;10.133.50.37;28002;CT01;5357;0
S2TS-CAM-008;CT01_PLC_B;10.133.50.37;28002;CT01;5357;1
IPRO-CAM-002;CT01_PLC_B;10.133.50.37;28002;CT01;5357;2
S2TN-CAM-040;CT01_PLC_B;10.133.50.37;28002;CT01;5357;3
S2TS-CAM-009;CT01_PLC_B;10.133.50.37;28002;CT01;5357;4
S2TN-CAM-039;CT01_PLC_B;10.133.50.37;28002;CT01;5357;5
S2TS-CAM-010;CT01_PLC_B;10.133.50.37;28002;CT01;5357;6
S2TN-CAM-038;CT01_PLC_B;10.133.50.37;28002;CT01;5357;7
S2TS-CAM-011;CT01_PLC_B;10.133.50.37;28002;CT01;5357;8
S2TN-CAM-037;CT01_PLC_B;10.133.50.37;28002;CT01;5357;9
S2TN-CAM-036;CT01_PLC_B;10.133.50.37;28002;CT01;5357;10
S2TS-CAM-012;CT01_PLC_B;10.133.50.37;28002;CT01;5357;11
S2TN-CAM-035;CT01_PLC_B;10.133.50.37;28002;CT01;5357;12
S2TS-CAM-013;CT01_PLC_B;10.133.50.37;28002;CT01;5357;13
S2TN-CAM-034;CT01_PLC_B;10.133.50.37;28002;CT01;5357;14
S2TN-CAM-033;CT01_PLC_B;10.133.50.37;28002;CT01;5357;15
S2TS-CAM-014;CT01_PLC_B;10.133.50.37;28002;CT01;5358;0
S2TN-CAM-032;CT01_PLC_B;10.133.50.37;28002;CT01;5358;1
S2TS-CAM-016;CT01_PLC_B;10.133.50.37;28002;CT01;5358;2
S2TN-CAM-031;CT01_PLC_B;10.133.50.37;28002;CT01;5358;3
S2TS-CAM-018;CT01_PLC_B;10.133.50.37;28002;CT01;5358;4
S2TN-CAM-030;CT01_PLC_B;10.133.50.37;28002;CT01;5358;5
ICCO-CAM-001;CT01_PLC_B;10.133.50.37;28002;CT01;5358;6
S2TS-CAM-020;CT01_PLC_B;10.133.50.37;28002;CT01;5358;7
S2TN-CAM-029;CT01_PLC_B;10.133.50.37;28002;CT01;5358;8
ICCO-CAM-002;CT01_PLC_B;10.133.50.37;28002;CT01;5358;9
S2TS-CAM-022;CT01_PLC_B;10.133.50.37;28002;CT01;5358;10
S2TN-CAM-028;CT01_PLC_B;10.133.50.37;28002;CT01;5358;11
S2TS-CAM-023;CT01_PLC_B;10.133.50.37;28002;CT01;5358;12
S2TN-CAM-027;CT01_PLC_B;10.133.50.37;28002;CT01;5358;13
S2TS-CAM-024;CT01_PLC_B;10.133.50.37;28002;CT01;5358;14
S2TS-CAM-025;CT01_PLC_B;10.133.50.37;28002;CT01;5358;15
S2TN-CAM-026;CT01_PLC_B;10.133.50.37;28002;CT01;5359;0
S2TS-CAM-026;CT01_PLC_B;10.133.50.37;28002;CT01;5359;1
S2TN-CAM-025;CT01_PLC_B;10.133.50.37;28002;CT01;5359;2
S2TS-CAM-027;CT01_PLC_B;10.133.50.37;28002;CT01;5359;3
S2TN-CAM-024;CT01_PLC_B;10.133.50.37;28002;CT01;5359;4
S2TS-CAM-028;CT01_PLC_B;10.133.50.37;28002;CT01;5359;5
S2TN-CAM-023;CT01_PLC_B;10.133.50.37;28002;CT01;5359;6
S2TS-CAM-029;CT01_PLC_B;10.133.50.37;28002;CT01;5359;7
S2TN-CAM-022;CT01_PLC_B;10.133.50.37;28002;CT01;5359;8
S2TS-CAM-030;CT01_PLC_B;10.133.50.37;28002;CT01;5359;9
IBTO-CAM-003;CT01_PLC_B;10.133.50.37;28002;CT01;5359;10
S2TS-CAM-031;CT01_PLC_B;10.133.50.37;28002;CT01;5359;11
S2TN-CAM-021;CT01_PLC_B;10.133.50.37;28002;CT01;5359;12
ICCP-CAM-001;CT01_PLC_B;10.133.50.37;28002;CT01;5359;13
ICCP-CAM-002;CT01_PLC_B;10.133.50.37;28002;CT01;5359;14
S2TN-CAM-020;CT01_PLC_B;10.133.50.37;28002;CT01;5359;15
S2TS-CAM-032;CT01_PLC_B;10.133.50.37;28002;CT01;5360;0
ICCP-CAM-003;CT01_PLC_B;10.133.50.37;28002;CT01;5360;1
S2TS-CAM-033;CT01_PLC_B;10.133.50.37;28002;CT01;5360;2
S2TN-CAM-019;CT01_PLC_B;10.133.50.37;28002;CT01;5360;3
S2TS-CAM-034;CT01_PLC_B;10.133.50.37;28002;CT01;5360;4
