device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_wind_speed(i);offset_sensor_out_of_range(i);offset_wind_direction(i);offset_broken_thread_sensor(i)
S1TS-ANE-003;S1TS-ANE-003;CT03_PLC_D;10.133.50.37;28018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15503;15501;15500;15501
S1TS-ANE-004;S1TS-ANE-004;CT03_PLC_D;10.133.50.37;28018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15522;15520;15519;15520
