device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
AL.SE6.1-S1;AL.SE6.1-S1;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE6.1-S2;AL.SE6.1-S2;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE6.1-P1;AL.SE6.1-P1;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.1-P2;AL.SE6.1-P2;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.1-P3;AL.SE6.1-P3;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.1-P4;AL.SE6.1-P4;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.1-P5;AL.SE6.1-P5;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.1-P6;AL.SE6.1-P6;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.1-P7;AL.SE6.1-P7;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.2-P1;AL.SE6.2-P1;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.2-P2;AL.SE6.2-P2;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.2-P3;AL.SE6.2-P3;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.2-P4;AL.SE6.2-P4;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.2-P5;AL.SE6.2-P5;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE6.2-P6;AL.SE6.2-P6;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
CT06-EMR-001;CT06-EMR-001;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
CT06-EMR-002;CT06-EMR-002;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
