device_name;session_uid;ct_upd;upd_state;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i)
SICO-BIE-001;SICO-BIE-001;PLC_CT07;upd_fail_sico;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22801;22801;22801
SICO-BIE-003;SICO-BIE-003;PLC_CT07;upd_fail_sico;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22811;22811;22811
SICO-BIE-005;SICO-BIE-005;PLC_CT07;upd_fail_sico;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22821;22821;22821
SICO-BIE-007;SICO-BIE-007;PLC_CT07;upd_fail_sico;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22831;22831;22831
ICCO-BIE-005;ICCO-BIE-005;PLC_CT07;upd_fail_icco_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22841;22841;22841
ICCO-BIE-003;ICCO-BIE-003;PLC_CT07;upd_fail_icco_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22851;22851;22851
ICCO-BIE-001;ICCO-BIE-001;PLC_CT07;upd_fail_icco_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22861;22861;22861
S2TS-BIE-062;S2TS-BIE-062;PLC_CT07;upd_fail_2e18_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22871;22871;22871
S2TN-BIE-062;S2TN-BIE-062;PLC_CT07;upd_fail_2e18;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22881;22881;22881
S2TS-BIE-064;S2TS-BIE-064;PLC_CT07;upd_fail_2e18_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22891;22891;22891
S2TN-BIE-064;S2TN-BIE-064;PLC_CT07;upd_fail_2e18;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22901;22901;22901
S2TN-BIE-066;S2TN-BIE-066;PLC_CT07;upd_fail_2e18;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22911;22911;22911
S2TS-BIE-066;S2TS-BIE-066;PLC_CT07;upd_fail_2e19_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22921;22921;22921
S2TS-BIE-068;S2TS-BIE-068;PLC_CT07;upd_fail_2e19_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22931;22931;22931
S2TN-BIE-068;S2TN-BIE-068;PLC_CT07;upd_fail_2e19;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22941;22941;22941
S2TN-BIE-070;S2TN-BIE-070;PLC_CT07;upd_fail_2e20;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22951;22951;22951
S2TN-BIE-072;S2TN-BIE-072;PLC_CT07;upd_fail_2e20;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22961;22961;22961
S2TS-BIE-070;S2TS-BIE-070;PLC_CT07;upd_fail_2e20_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22971;22971;22971
S2TS-BIE-072;S2TS-BIE-072;PLC_CT07;upd_fail_2e20_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22981;22981;22981
S2TS-BIE-074;S2TS-BIE-074;PLC_CT07;upd_fail_2e21_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;22991;22991;22991
S2TS-BIE-076;S2TS-BIE-076;PLC_CT07;upd_fail_2e21_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;23001;23001;23001
S2TN-BIE-076;S2TN-BIE-076;PLC_CT07;upd_fail_2e21;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;23011;23011;23011
S2TN-BIE-074;S2TN-BIE-074;PLC_CT07;upd_fail_2e21_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_B;10.133.50.37;28044;monitor;;23021;23021;23021
