device_name;session_uid;ct_upd;upd_state;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_electrical_consumption(i);offset_front_bearing_temperature(i);offset_back_bearing_temperature(i);offset_fan_vibration(i);offset_parcial_operating_hours(i);offset_total_operating_hours(i);offset_flow(i);offset_fan_running(i);offset_local_remote(i);offset_jetfan_fail(i);offset_jetfan_drop(i);offset_fan_available(i);offset_turning_direction(i);offset_fan_cmd(i);offset_jetfan_no_start(i);offset_jetfan_no_stop(i);offset_jetfan_de_out_range(i);offset_jetfan_de_broken_strand(i);offset_jetfan_de_alarm(i);offset_jetfan_de_detention(i);offset_jetfan_nde_out_range(i);offset_jetfan_nde_broken_strand(i);offset_jetfan_nde_alarm(i);offset_jetfan_nde_detention(i);offset_jetfan_vibration_out_range(i);offset_jetfan_vibration_broken_strand(i);offset_jetfan_vibration_alarm(i);offset_jetfan_vibration_detention(i);offset_jetfan_consumption_out_range(i);offset_jetfan_consumption_broken_strand(i);offset_jetfan_consumption_alarm(i);offset_jetfan_consumption_detention(i);offset_reset_alarms(i);offset_fan_on(i);offset_PTC_windings(i)
S1TS-VCH-300A;S1TS-VCH-300A;CT03_PLC_F;upd_fail_ct03_1;CT03_PLC_C;10.133.50.37;28017;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17610;17604;17606;17608;17614;17615;17612;17600;17600;17601;17601;17600;17600;17680;17601;17601;17601;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17683;17600;17601
S1TS-VCH-300B;S1TS-VCH-300B;CT03_PLC_F;upd_fail_ct03_1;CT03_PLC_C;10.133.50.37;28017;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17695;17689;17691;17693;17699;17700;17697;17685;17685;17686;17686;17685;17685;17765;17686;17686;17686;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17768;17685;17686
SIGO-VCH-302R;SIGO-VCH-302R;CT03_PLC_F;upd_fail_ct03_1;CT03_PLC_C;10.133.50.37;28017;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17780;17774;17776;17778;17784;17785;17782;17770;17770;17771;17771;17770;17770;17850;17771;17771;17771;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17853;17770;17771
