device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
SAPR-AFL-001;SAPR-AFL-001;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11802;11804;11801;11801;11801;11801;11801;11801;11801;11801;11801;11808;11807;11800;11800
SMPS-AFL-001;SMPS-AFL-001;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11811;11813;11810;11810;11810;11810;11810;11810;11810;11810;11810;11817;11816;11809;11809
SMPS-AFL-002;SMPS-AFL-002;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11820;11822;11819;11819;11819;11819;11819;11819;11819;11819;11819;11826;11825;11818;11818
IPRO-AFL-001;IPRO-AFL-001;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11829;11831;11828;11828;11828;11828;11828;11828;11828;11828;11828;11835;11834;11827;11827
S2TS-AFL-015;S2TS-AFL-015;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11838;11840;11837;11837;11837;11837;11837;11837;11837;11837;11837;11844;11843;11836;11836
S2TS-AFL-016;S2TS-AFL-016;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11847;11849;11846;11846;11846;11846;11846;11846;11846;11846;11846;11853;11852;11845;11845
S2TS-AFL-017;S2TS-AFL-017;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11856;11858;11855;11855;11855;11855;11855;11855;11855;11855;11855;11862;11861;11854;11854
S2TS-AFL-019;S2TS-AFL-019;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11865;11867;11864;11864;11864;11864;11864;11864;11864;11864;11864;11871;11870;11863;11863
S2TS-AFL-020;S2TS-AFL-020;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11874;11876;11873;11873;11873;11873;11873;11873;11873;11873;11873;11880;11879;11872;11872
S2TS-AFL-021;S2TS-AFL-021;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11883;11885;11882;11882;11882;11882;11882;11882;11882;11882;11882;11889;11888;11881;11881
S2TS-AFL-022;S2TS-AFL-022;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11892;11894;11891;11891;11891;11891;11891;11891;11891;11891;11891;11898;11897;11890;11890
S2TS-AFL-023;S2TS-AFL-023;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11901;11903;11900;11900;11900;11900;11900;11900;11900;11900;11900;11907;11906;11899;11899
S2TN-AFL-024;S2TN-AFL-024;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11910;11912;11909;11909;11909;11909;11909;11909;11909;11909;11909;11916;11915;11908;11908
S2TN-AFL-025;S2TN-AFL-025;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11919;11921;11918;11918;11918;11918;11918;11918;11918;11918;11918;11925;11924;11917;11917
S2TN-AFL-026;S2TN-AFL-026;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11928;11930;11927;11927;11927;11927;11927;11927;11927;11927;11927;11934;11933;11926;11926
S2TS-AFL-024;S2TS-AFL-024;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11937;11939;11936;11936;11936;11936;11936;11936;11936;11936;11936;11943;11942;11935;11935
S2TS-AFL-025;S2TS-AFL-025;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11946;11948;11945;11945;11945;11945;11945;11945;11945;11945;11945;11952;11951;11944;11944
S2TS-AFL-026;S2TS-AFL-026;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11955;11957;11954;11954;11954;11954;11954;11954;11954;11954;11954;11961;11960;11953;11953
S2TN-AFL-021;S2TN-AFL-021;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11964;11966;11963;11963;11963;11963;11963;11963;11963;11963;11963;11970;11969;11962;11962
S2TN-AFL-022;S2TN-AFL-022;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11973;11975;11972;11972;11972;11972;11972;11972;11972;11972;11972;11979;11978;11971;11971
