device_name;session_uid;ct_upd;upd_state;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_electrical_consumption(i);offset_front_bearing_temperature(i);offset_back_bearing_temperature(i);offset_fan_vibration(i);offset_parcial_operating_hours(i);offset_total_operating_hours(i);offset_flow(i);offset_fan_running(i);offset_local_remote(i);offset_jetfan_fail(i);offset_jetfan_drop(i);offset_fan_available(i);offset_turning_direction(i);offset_fan_cmd(i);offset_jetfan_no_start(i);offset_jetfan_no_stop(i);offset_jetfan_de_out_range(i);offset_jetfan_de_broken_strand(i);offset_jetfan_de_alarm(i);offset_jetfan_de_detention(i);offset_jetfan_nde_out_range(i);offset_jetfan_nde_broken_strand(i);offset_jetfan_nde_alarm(i);offset_jetfan_nde_detention(i);offset_jetfan_vibration_out_range(i);offset_jetfan_vibration_broken_strand(i);offset_jetfan_vibration_alarm(i);offset_jetfan_vibration_detention(i);offset_jetfan_consumption_out_range(i);offset_jetfan_consumption_broken_strand(i);offset_jetfan_consumption_alarm(i);offset_jetfan_consumption_detention(i);offset_reset_alarms(i);offset_fan_on(i);offset_PTC_windings(i)
IBTO-VCH-801R;IBTO-VCH-801R;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17610;17604;17606;17608;17614;17615;17612;17600;17600;17601;17601;17600;17600;17680;17601;17601;17601;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17683;17600;17601
SBTP-VCH-802R;SBTP-VCH-802R;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17695;17689;17691;17693;17699;17700;17697;17685;17685;17686;17686;17685;17685;17765;17686;17686;17686;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17768;17685;17686
S2TN-VCH-803;S2TN-VCH-803;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17780;17774;17776;17778;17784;17785;17782;17770;17770;17771;17771;17770;17770;17850;17771;17771;17771;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17853;17770;17771
S2TS-VCH-804A;S2TS-VCH-804A;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17865;17859;17861;17863;17869;17870;17867;17855;17855;17856;17856;17855;17855;17935;17856;17856;17856;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17938;17855;17856
S2TS-VCH-804B;S2TS-VCH-804B;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17950;17944;17946;17948;17954;17955;17952;17940;17940;17941;17941;17940;17940;18020;17941;17941;17941;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;18023;17940;17941
S2TN-VCH-805A;S2TN-VCH-805A;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18035;18029;18031;18033;18039;18040;18037;18025;18025;18026;18026;18025;18025;18105;18026;18026;18026;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18108;18025;18026
S2TN-VCH-805B;S2TN-VCH-805B;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18120;18114;18116;18118;18124;18125;18122;18110;18110;18111;18111;18110;18110;18190;18111;18111;18111;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18193;18110;18111
S2TS-VCH-800A;S2TS-VCH-800A;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18205;18199;18201;18203;18209;18210;18207;18195;18195;18196;18196;18195;18195;18275;18196;18196;18196;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18278;18195;18196
S2TS-VCH-800B;S2TS-VCH-800B;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18290;18284;18286;18288;18294;18295;18292;18280;18280;18281;18281;18280;18280;18360;18281;18281;18281;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18363;18280;18281
S2TN-VCH-807A;S2TN-VCH-807A;CT08_PLC_F;upd_fail_ct08;CT08_PLC_C;10.133.50.37;28052;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18375;18369;18371;18373;18379;18380;18377;18365;18365;18366;18366;18365;18365;18445;18366;18366;18366;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18448;18365;18366
