device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_light_cmd(i)
INKP-SEM-002;INKP-SEM-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_D;10.133.50.37;28032;monitor;;14719
IVIP-SEM-001;IVIP-SEM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_D;10.133.50.37;28032;monitor;;14765
