device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_luminosity(i);offset_alarm_sensor(i);offset_broken_thread(i)
ICCP-LUX-001;ICCP-LUX-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_G;10.133.50.37;28056;monitor;;15803;15801;15801
IBTO-LUX-001;IBTO-LUX-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_G;10.133.50.37;28056;monitor;;15818;15816;15816
