device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_avg_temperature(i);offset_alarm_zone(i);offset_fiber_fault(i);offset_fiber_failure_position(i);bit_zone(i);bit_fiber_fault(i)
S2TS-ZON-029;S2TS-ZON-029;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13989;14227;14235;14243;1;1
S2TS-ZON-028;S2TS-ZON-028;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13991;14227;14235;14243;2;2
S2TS-ZON-027;S2TS-ZON-027;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13993;14227;14235;14243;3;3
S2TS-ZON-026;S2TS-ZON-026;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13995;14227;14235;14243;4;4
S2TS-ZON-025;S2TS-ZON-025;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13997;14227;14235;14243;5;5
S2TS-ZON-024;S2TS-ZON-024;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13999;14227;14235;14243;6;6
S2TS-ZON-023;S2TS-ZON-023;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;14001;14227;14235;14243;7;7
S2TS-ZON-022;S2TS-ZON-022;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;14055;14229;14237;14243;2;2
S2TS-ZON-021;S2TS-ZON-021;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;14057;14229;14237;14243;3;3
ICNP-ZON-001;ICNP-ZON-001;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;14007;14227;14235;14243;10;10
