device_name;session_uid;url_publisher
S1TS_Tramo_1;S1TS_Tramo_1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS_Tramo_2;S1TS_Tramo_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS_Tramo_3;S1TS_Tramo_3;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS_Tramo_4;S1TS_Tramo_4;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS_Tramo_5;S1TS_Tramo_5;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS_Tramo_6;S1TS_Tramo_7;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TS_Tramo_6;S1TS_Tramo_7;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SCNO_Tramo_23;SCNO_Tramo_23;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP_Tramo_28;INKP_Tramo_28;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP_Tramo_29;INKP_Tramo_29;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP_Tramo_58;INKP_Tramo_58;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKP_Tramo_59;INKP_Tramo_59;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IPRO_Tramo_66;IPRO_Tramo_66;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IVIP_Tramo_27;IVIP_Tramo_27;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCO_Tramo_71;ICCO_Tramo_71;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCO_Tramo_72;ICCO_Tramo_72;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCP_Tramo_37;ICCP_Tramo_37;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
ICCP_Tramo_38;ICCP_Tramo_38;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
IBTO_Tramo_73;IBTO_Tramo_73;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SCNO_Tramo_24;SCNO_Tramo_24;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
