device_name;session_uid;ct_upd;upd_state;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
BALIZADO_CT08_01;BALIZADO_CT08_01;PLC_CT08;upd_fail_ct08;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;55;56
BALIZADO_CT08_02;BALIZADO_CT08_02;PLC_CT08;upd_fail_ct08;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;57;58
