device_name;session_uid;ct_upd;upd_state;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_electrical_consumption(i);offset_front_bearing_temperature(i);offset_back_bearing_temperature(i);offset_fan_vibration(i);offset_parcial_operating_hours(i);offset_total_operating_hours(i);offset_flow(i);offset_fan_running(i);offset_local_remote(i);offset_jetfan_fail(i);offset_jetfan_drop(i);offset_fan_available(i);offset_turning_direction(i);offset_fan_cmd(i);offset_jetfan_no_start(i);offset_jetfan_no_stop(i);offset_jetfan_de_out_range(i);offset_jetfan_de_broken_strand(i);offset_jetfan_de_alarm(i);offset_jetfan_de_detention(i);offset_jetfan_nde_out_range(i);offset_jetfan_nde_broken_strand(i);offset_jetfan_nde_alarm(i);offset_jetfan_nde_detention(i);offset_jetfan_vibration_out_range(i);offset_jetfan_vibration_broken_strand(i);offset_jetfan_vibration_alarm(i);offset_jetfan_vibration_detention(i);offset_jetfan_consumption_out_range(i);offset_jetfan_consumption_broken_strand(i);offset_jetfan_consumption_alarm(i);offset_jetfan_consumption_detention(i);offset_reset_alarms(i);offset_fan_on(i);offset_PTC_windings(i)
SVIP-VCH-407R;SVIP-VCH-407R;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17610;17604;17606;17608;17614;17615;17612;17600;17600;17601;17601;17600;17600;17680;17601;17601;17601;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17602;17683;17600;17601
S2TN-VCH-401;S2TN-VCH-401;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17695;17689;17691;17693;17699;17700;17697;17685;17685;17686;17686;17685;17685;17765;17686;17686;17686;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17687;17768;17685;17686
S2TN-VCH-403B;S2TN-VCH-403B;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17780;17774;17776;17778;17784;17785;17782;17770;17770;17771;17771;17770;17770;17850;17771;17771;17771;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17772;17853;17770;17771
S2TN-VCH-403A;S2TN-VCH-403A;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17865;17859;17861;17863;17869;17870;17867;17855;17855;17856;17856;17855;17855;17935;17856;17856;17856;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17857;17938;17855;17856
S2TN-VCH-405B;S2TN-VCH-405B;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;17950;17944;17946;17948;17954;17955;17952;17940;17940;17941;17941;17940;17940;18020;17941;17941;17941;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;17942;18023;17940;17941
S2TN-VCH-405A;S2TN-VCH-405A;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18035;18029;18031;18033;18039;18040;18037;18025;18025;18026;18026;18025;18025;18105;18026;18026;18026;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18027;18108;18025;18026
S2TS-VCH-400;S2TS-VCH-400;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18120;18114;18116;18118;18124;18125;18122;18110;18110;18111;18111;18110;18110;18190;18111;18111;18111;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18112;18193;18110;18111
S2TS-VCH-402B;S2TS-VCH-402B;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18205;18199;18201;18203;18209;18210;18207;18195;18195;18196;18196;18195;18195;18275;18196;18196;18196;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18197;18278;18195;18196
S2TS-VCH-402A;S2TS-VCH-402A;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18290;18284;18286;18288;18294;18295;18292;18280;18280;18281;18281;18280;18280;18360;18281;18281;18281;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18282;18363;18280;18281
S2TS-VCH-404B;S2TS-VCH-404B;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18375;18369;18371;18373;18379;18380;18377;18365;18365;18366;18366;18365;18365;18445;18366;18366;18366;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18367;18448;18365;18366
S2TS-VCH-404A;S2TS-VCH-404A;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18460;18454;18456;18458;18464;18465;18462;18450;18450;18451;18451;18450;18450;18530;18451;18451;18451;18452;18452;18452;18452;18452;18452;18452;18452;18452;18452;18452;18452;18452;18452;18452;18533;18450;18451
INKO-VCH-415R;INKO-VCH-415R;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18545;18539;18541;18543;18549;18550;18547;18535;18535;18536;18536;18535;18535;18615;18536;18536;18536;18537;18537;18537;18537;18537;18537;18537;18537;18537;18537;18537;18537;18537;18537;18537;18618;18535;18536
INKO-VCH-413R;INKO-VCH-413R;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18630;18624;18626;18628;18634;18635;18632;18620;18620;18621;18621;18620;18620;18700;18621;18621;18621;18622;18622;18622;18622;18622;18622;18622;18622;18622;18622;18622;18622;18622;18622;18622;18703;18620;18621
INKO-VCH-411R;INKO-VCH-411R;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18715;18709;18711;18713;18719;18720;18717;18705;18705;18706;18706;18705;18705;18785;18706;18706;18706;18707;18707;18707;18707;18707;18707;18707;18707;18707;18707;18707;18707;18707;18707;18707;18788;18705;18706
IVIP-VCH-408R;IVIP-VCH-408R;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18800;18794;18796;18798;18804;18805;18802;18790;18790;18791;18791;18790;18790;18870;18791;18791;18791;18792;18792;18792;18792;18792;18792;18792;18792;18792;18792;18792;18792;18792;18792;18792;18873;18790;18791
IVIP-VCH-410R;IVIP-VCH-410R;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18885;18879;18881;18883;18889;18890;18887;18875;18875;18876;18876;18875;18875;18955;18876;18876;18876;18877;18877;18877;18877;18877;18877;18877;18877;18877;18877;18877;18877;18877;18877;18877;18958;18875;18876
IVIP-VCH-412R;IVIP-VCH-412R;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;18970;18964;18966;18968;18974;18975;18972;18960;18960;18961;18961;18960;18960;19040;18961;18961;18961;18962;18962;18962;18962;18962;18962;18962;18962;18962;18962;18962;18962;18962;18962;18962;19043;18960;18961
IVIP-VCH-414R;IVIP-VCH-414R;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19055;19049;19051;19053;19059;19060;19057;19045;19045;19046;19046;19045;19045;19125;19046;19046;19046;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19128;19045;19046
S2TS-VCH-406B;S2TS-VCH-406B;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19140;19134;19136;19138;19144;19145;19142;19130;19130;19131;19131;19130;19130;19210;19131;19131;19131;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19213;19130;19131
S2TS-VCH-406A;S2TS-VCH-406A;CT04_PLC_F;upd_fail_ct04;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19225;19219;19221;19223;19229;19230;19227;19215;19215;19216;19216;19215;19215;19295;19216;19216;19216;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19298;19215;19216
S2TN-VCH-409B;S2TN-VCH-409B;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19310;19304;19306;19308;19314;19315;19312;19300;19300;19301;19301;19300;19300;19380;19301;19301;19301;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19383;19300;19301
S2TN-VCH-409A;S2TN-VCH-409A;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19395;19389;19391;19393;19399;19400;19397;19385;19385;19386;19386;19385;19385;19465;19386;19386;19386;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19468;19385;19386
S2TS-VCH-416B;S2TS-VCH-416B;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19480;19474;19476;19478;19484;19485;19482;19470;19470;19471;19471;19470;19470;19550;19471;19471;19471;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19553;19470;19471
S2TS-VCH-416A;S2TS-VCH-416A;CT04_PLC_F;upd_fail_ct04_2;CT04_PLC_C;10.133.50.37;28024;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19565;19559;19561;19563;19569;19570;19567;19555;19555;19556;19556;19555;19555;19635;19556;19556;19556;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19638;19555;19556
