device_name;session_uid;url_publisher;PLC_name;ip;port(i);read_permission;write_permission;offset_fan_running(i);offset_fan_fail_start(i);offset_fan_fail_stop(i);offset_fan_fail(i);offset_fan_start(i);offset_reset_alarms(i);offset_reset_alarms_read(i);offset_partial_hours_reset(i);offset_local_remote(i);offset_fan_stop(i);offset_total_operating_hours(i);offset_parcial_operating_hours(i)
1E08-GAL8-VDF;1E08-GAL8-VDF;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT03_PLC_C;10.133.50.37;28017;monitor;;21146;21147;21147;21147;21165;21167;21146;21168;21146;21166;21150;21149
1ES1-GAL1;1ES1-GAL1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT03_PLC_C;10.133.50.37;28017;monitor;;21169;21170;21170;21170;21188;21190;21169;21191;21169;21189;21173;21172
1ES2-GAL2;1ES2-GAL2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_C;10.133.50.37;28024;monitor;;21100;21101;21101;21101;21119;21121;21100;21122;21100;21120;21104;21103
1ES3-ELE-002;1ES3-ELE-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_C;10.133.50.37;28024;monitor;;21123;21124;21124;21124;21142;21144;21123;21145;21123;21143;21127;21126
1ES4-GAL4;1ES4-GAL4;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_C;10.133.50.37;28024;monitor;;21146;21147;21147;21147;21165;21167;21146;21168;21146;21166;21150;21149
2E03-GAL5;2E03-GAL5;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_C;10.133.50.37;28024;monitor;;21169;21170;21170;21170;21188;21190;21169;21191;21169;21189;21173;21172
2E04-GAL6;2E04-GAL6;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_C;10.133.50.37;28024;monitor;;21192;21193;21193;21193;21211;21213;21192;21214;21192;21212;21196;21195
2E05-GAL7;2E05-GAL7;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_C;10.133.50.37;28024;monitor;;21215;21216;21216;21216;21234;21236;21215;21237;21215;21235;21219;21218
2E06-GAL8;2E06-GAL8;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_C;10.133.50.37;28031;monitor;;21100;21101;21101;21101;21119;21121;21100;21122;21100;21120;21104;21103
2E07-GAL9;2E07-GAL9;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_C;10.133.50.37;28031;monitor;;21123;21124;21124;21124;21142;21144;21123;21145;21123;21143;21127;21126
2E08-GAL010;2E08-GAL010;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_C;10.133.50.37;28031;monitor;;21146;21147;21147;21147;21165;21167;21146;21168;21146;21166;21150;21149
2E09-GAL011;2E09-GAL011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_C;10.133.50.37;28031;monitor;;21169;21170;21170;21170;21188;21190;21169;21191;21169;21189;21173;21172
2E10-GAL012;2E10-GAL012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_C;10.133.50.37;28031;monitor;;21192;21193;21193;21193;21211;21213;21192;21214;21192;21212;21196;21195
2E11-GAL013;2E11-GAL013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_C;10.133.50.37;28031;monitor;;21215;21216;21216;21216;21234;21236;21215;21237;21215;21235;21219;21218
2E12-GAL014;2E12-GAL014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_C;10.133.50.37;28038;monitor;;21100;21101;21101;21101;21119;21121;21100;21122;21100;21120;21104;21103
2E13-GAL015;2E13-GAL015;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_C;10.133.50.37;28038;monitor;;21123;21124;21124;21124;21142;21144;21123;21145;21123;21143;21127;21126
2E14-GAL1-1;2E14-GAL1-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_C;10.133.50.37;28038;monitor;;21146;21147;21147;21147;21165;21167;21146;21168;21146;21166;21150;21149
2E14-GAL1-2;2E14-GAL1-2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_C;10.133.50.37;28038;monitor;;21169;21170;21170;21170;21188;21190;21169;21191;21169;21189;21173;21172
2E15-GAL2-1;2E15-GAL2-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_C;10.133.50.37;28038;monitor;;21192;21193;21193;21193;21211;21213;21192;21214;21192;21212;21196;21195
2E15-GAL2-2;2E15-GAL2-2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_C;10.133.50.37;28038;monitor;;21215;21216;21216;21216;21234;21236;21215;21237;21215;21235;21219;21218
2E16-GAL3-1;2E16-GAL3-1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_C;10.133.50.37;28038;monitor;;21238;21239;21239;21239;21257;21259;21238;21260;21238;21258;21242;21241
