device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
S1TN-DOM-005;S1TN-DOM-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.3.8'
SCNO-CAM-001;SCNO-CAM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.8'
ICEP-DOM-001;ICEP-DOM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.21.4'
S1TS-DOM-010;S1TS-DOM-010;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.14'
SCNO-CAM-002;SCNO-CAM-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.7'
SAEB-CAM-001;SAEB-CAM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.15'
SAEB-CAM-002;SAEB-CAM-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.16'
SCNO-CAM-003;SCNO-CAM-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.11'
SAEB-CAM-003;SAEB-CAM-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.17'
SAEB-CAM-004;SAEB-CAM-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.18'
SAEB-CAM-005;SAEB-CAM-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.19'
SAEB-CAM-006;SAEB-CAM-006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.20'
SCNO-DOM-001;SCNO-DOM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.14'
SCNO-CAM-004;SCNO-CAM-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.12'
SAEB-CAM-007;SAEB-CAM-007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.21'
SCNO-CAM-005;SCNO-CAM-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.13'
SCNO-CAM-006;SCNO-CAM-006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.15'
SAEB-DOM-001;SAEB-DOM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.4.22'
SCNO-CAM-007;SCNO-CAM-007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.16'
SCNO-DOM-002;SCNO-DOM-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.18'
SCNO-CAM-008;SCNO-CAM-008;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.17'
S1TS-DOM-001;S1TS-DOM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.21.7'
S1TS-DOM-013;S1TS-DOM-013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.111.1'
S1TS-CAM-001;S1TS-CAM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.21.6'
SCNO-DOM-003;SCNO-DOM-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.19'
S1TS-CAM-002;S1TS-CAM-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.1'
S1TS-DOM-002;S1TS-DOM-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.2'
S1TN-DOM-011;S1TN-DOM-011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.3.2'
S1TS-CAM-003;S1TS-CAM-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.3'
S1TS-CAM-004;S1TS-CAM-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.4'
S1TS-DOM-003;S1TS-DOM-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.5'
SIGO-CAM-001;SIGO-CAM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.6.5'
S1TS-CAM-005;S1TS-CAM-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.1.6'
S1TN-DOM-010;S1TN-DOM-010;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.3.1'
SIGO-DOM-001;SIGO-DOM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.6.7'
ICEO-DOM-001;ICEO-DOM-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.21.3'
SIGO-CAM-002;SIGO-CAM-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.6.6'
S1TS-CAM-006;S1TS-CAM-006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.1'
S1TS-DOM-004;S1TS-DOM-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;'http://10.50.2.3'
