device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_avg_temperature(i);offset_alarm_zone(i);offset_fiber_fault(i);offset_fiber_failure_position(i);bit_zone(i);bit_fiber_fault(i)
S1TS-ZON-011;S1TS-ZON-011;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13204;13442;13450;13458;1;1
S1TS-ZON-010;S1TS-ZON-010;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13206;13442;13450;13458;2;2
S1TS-ZON-009;S1TS-ZON-009;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13208;13442;13450;13458;3;3
S1TS-ZON-008;S1TS-ZON-008;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13210;13442;13450;13458;4;4
S1TS-ZON-007;S1TS-ZON-007;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13212;13442;13450;13458;5;5
S1TS-ZON-006;S1TS-ZON-006;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13214;13442;13450;13458;6;6
S1TS-ZON-005;S1TS-ZON-005;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13252;13443;13451;13458;9;9
S1TS-ZON-004;S1TS-ZON-004;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13254;13443;13451;13458;10;10
S1TS-ZON-003;S1TS-ZON-003;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13256;13443;13451;13458;11;11
S1TS-ZON-002;S1TS-ZON-002;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13258;13443;13451;13458;12;12
S1TS-ZON-001;S1TS-ZON-001;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13260;13443;13451;13458;13;13
SCNO-ZON-001;SCNO-ZON-001;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13222;13442;13450;13458;10;10
SCNO-ZON-002;SCNO-ZON-002;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13224;13442;13450;13458;11;11
SCNO-ZON-003;SCNO-ZON-003;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13226;13442;13450;13458;12;12
SCNO-ZON-004;SCNO-ZON-004;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13228;13442;13450;13458;13;13
SCNO-ZON-005;SCNO-ZON-005;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13230;13442;13450;13458;14;14
SCNO-ZON-006;SCNO-ZON-006;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13232;13443;13451;13458;2;2
SCNO-ZON-007;SCNO-ZON-007;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13234;13443;13451;13458;0;0
S1TS-ZON-012;S1TS-ZON-012;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13464;13702;13710;13718;1;1
S1TS-ZON-013;S1TS-ZON-013;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13466;13702;13710;13718;2;2
S1TS-ZON-014;S1TS-ZON-014;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13468;13702;13710;13718;3;3
S1TS-ZON-015;S1TS-ZON-015;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13470;13702;13710;13718;4;4
S1TS-ZON-016;S1TS-ZON-016;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13472;13702;13710;13718;5;5
S1TS-ZON-017;S1TS-ZON-017;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13474;13702;13710;13718;6;6
S1TS-ZON-018;S1TS-ZON-018;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13476;13702;13710;13718;7;7
S1TS-ZON-019;S1TS-ZON-019;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13478;13702;13710;13718;8;8
S1TS-ZON-020;S1TS-ZON-020;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13480;13702;13710;13718;9;9
S1TS-ZON-021;S1TS-ZON-021;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13498;13703;13711;13718;2;2
S1TS-ZON-022;S1TS-ZON-022;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13500;13703;13711;13718;3;3
S1TS-ZON-023;S1TS-ZON-023;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13502;13703;13711;13718;4;4
S1TS-ZON-024;S1TS-ZON-024;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13524;13703;13711;13718;15;15
SAEB-ZON-001;SAEB-ZON-001;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13484;13702;13710;13718;11;11
SAEB-ZON-002;SAEB-ZON-002;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13486;13702;13710;13718;12;12
SIGO-ZON-001;SIGO-ZON-001;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13508;13703;13711;13718;7;7
SIGO-ZON-002;SIGO-ZON-002;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13510;13703;13711;13718;8;8
S1TS-ZON-025;S1TS-ZON-025;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13526;13704;13712;13718;0;0
S1TS-ZON-026;S1TS-ZON-026;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13528;13704;13712;13718;1;1
S1TS-ZON-027;S1TS-ZON-027;CT02_PLC_F;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13530;13704;13712;13718;2;2
