device_name;session_uid;PLC_name;host;PLC_port(i);url_publisher;read_permission;write_permission;offset_state(i);bit_state(i)
VALV-OSY-ALJ1-1;VALV-OSY-ALJ1-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;11
VALV-OSY-ALJ1-2;VALV-OSY-ALJ1-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;12
VALV-PRUEBAS-ALJ1-1;VALV-PRUEBAS-ALJ1-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;7
VALV-PRUEBAS-ALJ1-2;VALV-PRUEBAS-ALJ1-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;9
VALV-DESCARGA-ALJ1-1;VALV-DESCARGA-ALJ1-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;6
VALV-DESCARGA-ALJ1-2;VALV-DESCARGA-ALJ1-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21641;8
VALV-OSY-ALJ2-1;VALV-OSY-ALJ2-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;11
VALV-OSY-ALJ2-2;VALV-OSY-ALJ2-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;12
VALV-PRUEBAS-ALJ2-1;VALV-PRUEBAS-ALJ2-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;7
VALV-PRUEBAS-ALJ2-2;VALV-PRUEBAS-ALJ2-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;9
VALV-DESCARGA-ALJ2-1;VALV-DESCARGA-ALJ2-1;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;6
VALV-DESCARGA-ALJ2-2;VALV-DESCARGA-ALJ2-2;CT04_PLC_F;10.133.50.37;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;8
VALV-OSY-ALJ3-1;VALV-OSY-ALJ3-1;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;11
VALV-OSY-ALJ3-2;VALV-OSY-ALJ3-2;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;12
VALV-PRUEBAS-ALJ3-1;VALV-PRUEBAS-ALJ3-1;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;7
VALV-PRUEBAS-ALJ3-2;VALV-PRUEBAS-ALJ3-2;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;9
VALV-DESCARGA-ALJ3-1;VALV-DESCARGA-ALJ3-1;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;6
VALV-DESCARGA-ALJ3-2;VALV-DESCARGA-ALJ3-2;CT06_PLC_F;10.133.50.37;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;8
VALV-OSY-ALJ4-1;VALV-OSY-ALJ4-1;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;11
VALV-OSY-ALJ4-2;VALV-OSY-ALJ4-2;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;12
VALV-PRUEBAS-ALJ4-1;VALV-PRUEBAS-ALJ4-1;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;7
VALV-PRUEBAS-ALJ4-2;VALV-PRUEBAS-ALJ4-2;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;9
VALV-DESCARGA-ALJ4-1;VALV-DESCARGA-ALJ4-1;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;6
VALV-DESCARGA-ALJ4-2;VALV-DESCARGA-ALJ4-2;CT07_PLC_F;10.133.50.37;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;;21601;8
