device_name;session_uid;ct_upd;upd_state;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_electrical_consumption(i);offset_front_bearing_temperature(i);offset_back_bearing_temperature(i);offset_fan_vibration(i);offset_parcial_operating_hours(i);offset_total_operating_hours(i);offset_flow(i);offset_fan_running(i);offset_local_remote(i);offset_jetfan_fail(i);offset_jetfan_drop(i);offset_fan_available(i);offset_turning_direction(i);offset_fan_cmd(i);offset_jetfan_no_start(i);offset_jetfan_no_stop(i);offset_jetfan_de_out_range(i);offset_jetfan_de_broken_strand(i);offset_jetfan_de_alarm(i);offset_jetfan_de_detention(i);offset_jetfan_nde_out_range(i);offset_jetfan_nde_broken_strand(i);offset_jetfan_nde_alarm(i);offset_jetfan_nde_detention(i);offset_jetfan_vibration_out_range(i);offset_jetfan_vibration_broken_strand(i);offset_jetfan_vibration_alarm(i);offset_jetfan_vibration_detention(i);offset_jetfan_consumption_out_range(i);offset_jetfan_consumption_broken_strand(i);offset_jetfan_consumption_alarm(i);offset_jetfan_consumption_detention(i);offset_reset_alarms(i);offset_fan_on(i);offset_PTC_windings(i)
S2TN-VCH-503B;S2TN-VCH-503B;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19055;19049;19051;19053;19059;19060;19057;19045;19045;19046;19046;19045;19045;19125;19046;19046;19046;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19047;19128;19045;19046
S2TN-VCH-503A;S2TN-VCH-503A;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19140;19134;19136;19138;19144;19145;19142;19130;19130;19131;19131;19130;19130;19210;19131;19131;19131;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19132;19213;19130;19131
S2TN-VCH-505B;S2TN-VCH-505B;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19225;19219;19221;19223;19229;19230;19227;19215;19215;19216;19216;19215;19215;19295;19216;19216;19216;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19298;19215;19216
S2TN-VCH-505A;S2TN-VCH-505A;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19310;19304;19306;19308;19314;19315;19312;19300;19300;19301;19301;19300;19300;19380;19301;19301;19301;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19302;19383;19300;19301
S2TS-VCH-516B;S2TS-VCH-516B;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19395;19389;19391;19393;19399;19400;19397;19385;19385;19386;19386;19385;19385;19465;19386;19386;19386;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19387;19468;19385;19386
S2TS-VCH-516A;S2TS-VCH-516A;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19480;19474;19476;19478;19484;19485;19482;19470;19470;19471;19471;19470;19470;19550;19471;19471;19471;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19472;19553;19470;19471
S2TN-VCH-509B;S2TN-VCH-509B;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19565;19559;19561;19563;19569;19570;19567;19555;19555;19556;19556;19555;19555;19635;19556;19556;19556;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19557;19638;19555;19556
S2TN-VCH-509A;S2TN-VCH-509A;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19650;19644;19646;19648;19654;19655;19652;19640;19640;19641;19641;19640;19640;19720;19641;19641;19641;19642;19642;19642;19642;19642;19642;19642;19642;19642;19642;19642;19642;19642;19642;19642;19723;19640;19641
IPRO-VCH-511R;IPRO-VCH-511R;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19735;19729;19731;19733;19739;19740;19737;19725;19725;19726;19726;19725;19725;19805;19726;19726;19726;19727;19727;19727;19727;19727;19727;19727;19727;19727;19727;19727;19727;19727;19727;19727;19808;19725;19726
IPRO-VCH-507R;IPRO-VCH-507R;CT05_PLC_F;upd_fail_ct05;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19820;19814;19816;19818;19824;19825;19822;19810;19810;19811;19811;19810;19810;19890;19811;19811;19811;19812;19812;19812;19812;19812;19812;19812;19812;19812;19812;19812;19812;19812;19812;19812;19893;19810;19811
S2TS-VCH-518B;S2TS-VCH-518B;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19905;19899;19901;19903;19909;19910;19907;19895;19895;19896;19896;19895;19895;19975;19896;19896;19896;19897;19897;19897;19897;19897;19897;19897;19897;19897;19897;19897;19897;19897;19897;19897;19978;19895;19896
S2TS-VCH-518A;S2TS-VCH-518A;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;19990;19984;19986;19988;19994;19995;19992;19980;19980;19981;19981;19980;19980;20060;19981;19981;19981;19982;19982;19982;19982;19982;19982;19982;19982;19982;19982;19982;19982;19982;19982;19982;20063;19980;19981
S2TS-VCH-520;S2TS-VCH-520;CT05_PLC_F;upd_fail_ct05_2;CT05_PLC_C;10.133.50.37;28031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;20075;20069;20071;20073;20079;20080;20077;20065;20065;20066;20066;20065;20065;20145;20066;20066;20066;20067;20067;20067;20067;20067;20067;20067;20067;20067;20067;20067;20067;20067;20067;20067;20148;20065;20066
