device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;bit_door_open(i)
ICCP-AIM-001_AE;ICCP-AIM-001_AE;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_A;10.133.50.37;28050;monitor;;0
IBTO-AIM-001_AE;IBTO-AIM-001_AE;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_A;10.133.50.37;28050;monitor;;1
