device_name;PLC_name;ip_PLC;PLC_port(i);offset_soleado(i);offset_nublado(i);offset_crepuscular(i);offset_nocturno(i)
DALI_CT02;CT02_PLC_D;10.133.50.37;28011;5253;5254;5255;5256
DALI_CT03;CT03_PLC_D;10.133.50.37;28018;5253;5254;5255;5256
DALI_CT04;CT04_PLC_D;10.133.50.37;28025;5253;5254;5255;5256
DALI_CT05;CT05_PLC_D;10.133.50.37;28032;5253;5254;5255;5256
DALI_CT06;CT06_PLC_C;10.133.50.37;28039;5253;5254;5255;5256
DALI_CT07;CT07_PLC_C;10.133.50.37;28046;5253;5254;5255;5256
DALI_CT08;CT08_PLC_C;10.133.50.37;28053;5253;5254;5255;5256
