device_name;session_uid;sos_electronic_fail;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i)
SICO-BIE-002;SICO-BIE-002;SICO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10000
SICO-BIE-004;SICO-BIE-004;SICO-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10017
SICO-BIE-006;SICO-BIE-006;SICO-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10034
ICCO-BIE-004;ICCO-BIE-004;ICCO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10068
ICCO-BIE-002;ICCO-BIE-002;ICCO-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10085
S2TN-BIE-061;S2TN-BIE-061;S2TN-CAB-020;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10102
S2TS-BIE-061;S2TS-BIE-061;S2TS-CAB-030;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10119
S2TN-BIE-063;S2TN-BIE-063;S2TN-CAB-019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10136
S2TS-BIE-063;S2TS-BIE-063;S2TS-CAB-031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10153
S2TN-BIE-065;S2TN-BIE-065;S2TN-CAB-018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10204
S2TS-BIE-065;S2TS-BIE-065;S2TS-CAB-032;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10221
S2TN-BIE-067;S2TN-BIE-067;S2TN-CAB-017;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10238
S2TS-BIE-067;S2TS-BIE-067;S2TS-CAB-033;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10255
S2TN-BIE-069;S2TN-BIE-069;S2TN-CAB-016;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10306
S2TS-BIE-069;S2TS-BIE-069;S2TS-CAB-034;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10323
S2TN-BIE-071;S2TN-BIE-071;S2TN-CAB-015;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10340
S2TS-BIE-071;S2TS-BIE-071;S2TS-CAB-035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10357
S2TN-BIE-073;S2TN-BIE-073;S2TN-CAB-014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10408
S2TS-BIE-073;S2TS-BIE-073;S2TS-CAB-036;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10425
S2TN-BIE-075;S2TN-BIE-075;S2TN-CAB-013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10442
S2TS-BIE-075;S2TS-BIE-075;S2TS-CAB-037;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10459
S2TN-BIE-077;S2TN-BIE-077;S2TN-CAB-012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10544
S2TS-BIE-077;S2TS-BIE-077;S2TS-CAB-038;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10561
SICO-BIE-008;SICO-BIE-008;SICO-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10578
