device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_pixel_test_board_fail_4(i);offset_pixel_test_board_fail_5(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
S2TN-CLV-039;S2TN-CLV-039;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11400;11402;11399;11399;11399;11399;11399;11399;11399;11399;11399;11399;11399;11406;11405;11398;11398
S2TN-CLV-040;S2TN-CLV-040;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11409;11411;11408;11408;11408;11408;11408;11408;11408;11408;11408;11408;11408;11415;11414;11407;11407
S2TN-CLV-041;S2TN-CLV-041;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11418;11420;11417;11417;11417;11417;11417;11417;11417;11417;11417;11417;11417;11424;11423;11416;11416
S2TS-CLV-039;S2TS-CLV-039;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11427;11429;11426;11426;11426;11426;11426;11426;11426;11426;11426;11426;11426;11433;11432;11425;11425
S2TS-CLV-040;S2TS-CLV-040;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11436;11438;11435;11435;11435;11435;11435;11435;11435;11435;11435;11435;11435;11442;11441;11434;11434
S2TS-CLV-041;S2TS-CLV-041;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11445;11447;11444;11444;11444;11444;11444;11444;11444;11444;11444;11444;11444;11451;11450;11443;11443
S2TS-CLV-042;S2TS-CLV-042;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11454;11456;11453;11453;11453;11453;11453;11453;11453;11453;11453;11453;11453;11460;11459;11452;11452
S2TS-CLV-043;S2TS-CLV-043;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11463;11465;11462;11462;11462;11462;11462;11462;11462;11462;11462;11462;11462;11469;11468;11461;11461
S2TS-CLV-044;S2TS-CLV-044;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11472;11474;11471;11471;11471;11471;11471;11471;11471;11471;11471;11471;11471;11478;11477;11470;11470
S2TN-CLV-036;S2TN-CLV-036;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11481;11483;11480;11480;11480;11480;11480;11480;11480;11480;11480;11480;11480;11487;11486;11479;11479
S2TN-CLV-037;S2TN-CLV-037;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11490;11492;11489;11489;11489;11489;11489;11489;11489;11489;11489;11489;11489;11496;11495;11488;11488
S2TN-CLV-038;S2TN-CLV-038;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11499;11501;11498;11498;11498;11498;11498;11498;11498;11498;11498;11498;11498;11505;11504;11497;11497
S2TN-CLV-033;S2TN-CLV-033;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11508;11510;11507;11507;11507;11507;11507;11507;11507;11507;11507;11507;11507;11514;11513;11506;11506
S2TN-CLV-034;S2TN-CLV-034;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11517;11519;11516;11516;11516;11516;11516;11516;11516;11516;11516;11516;11516;11523;11522;11515;11515
S2TN-CLV-035;S2TN-CLV-035;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11526;11528;11525;11525;11525;11525;11525;11525;11525;11525;11525;11525;11525;11532;11531;11524;11524
S2TS-CLV-045;S2TS-CLV-045;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11535;11537;11534;11534;11534;11534;11534;11534;11534;11534;11534;11534;11534;11541;11540;11533;11533
S2TS-CLV-046;S2TS-CLV-046;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11544;11546;11543;11543;11543;11543;11543;11543;11543;11543;11543;11543;11543;11550;11549;11542;11542
S2TS-CLV-047;S2TS-CLV-047;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11553;11555;11552;11552;11552;11552;11552;11552;11552;11552;11552;11552;11552;11559;11558;11551;11551
S2TN-CLV-029;S2TN-CLV-029;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11562;11564;11561;11561;11561;11561;11561;11561;11561;11561;11561;11561;11561;11568;11567;11560;11560
S2TN-CLV-030;S2TN-CLV-030;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11571;11573;11570;11570;11570;11570;11570;11570;11570;11570;11570;11570;11570;11577;11576;11569;11569
S2TN-CLV-031;S2TN-CLV-031;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11580;11582;11579;11579;11579;11579;11579;11579;11579;11579;11579;11579;11579;11586;11585;11578;11578
S2TN-CLV-032;S2TN-CLV-032;CT06_PLC_E;10.133.50.37;28040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11589;11591;11588;11588;11588;11588;11588;11588;11588;11588;11588;11588;11588;11595;11594;11587;11587
