device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
ICCO-AFL-001;ICCO-AFL-002;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11802;11804;11801;11801;11801;11801;11801;11801;11801;11801;11801;11808;11807;11800;11800
S2TS-AFL-030;S2TS-AFL-030;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11811;11813;11810;11810;11810;11810;11810;11810;11810;11810;11810;11817;11816;11809;11809
S2TS-AFL-031;S2TS-AFL-031;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11820;11822;11819;11819;11819;11819;11819;11819;11819;11819;11819;11826;11825;11818;11818
S2TS-AFL-032;S2TS-AFL-032;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11829;11831;11828;11828;11828;11828;11828;11828;11828;11828;11828;11835;11834;11827;11827
S2TN-AFL-014;S2TN-AFL-014;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11838;11840;11837;11837;11837;11837;11837;11837;11837;11837;11837;11844;11843;11836;11836
S2TN-AFL-015;S2TN-AFL-015;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11847;11849;11846;11846;11846;11846;11846;11846;11846;11846;11846;11853;11852;11845;11845
S2TN-AFL-016;S2TN-AFL-016;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11856;11858;11855;11855;11855;11855;11855;11855;11855;11855;11855;11862;11861;11854;11854
S2TN-AFL-011;S2TN-AFL-011;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11865;11867;11864;11864;11864;11864;11864;11864;11864;11864;11864;11871;11870;11863;11863
S2TN-AFL-012;S2TN-AFL-012;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11874;11876;11873;11873;11873;11873;11873;11873;11873;11873;11873;11880;11879;11872;11872
S2TN-AFL-013;S2TN-AFL-013;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11883;11885;11882;11882;11882;11882;11882;11882;11882;11882;11882;11889;11888;11881;11881
S2TS-AFL-033;S2TS-AFL-033;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11892;11894;11891;11891;11891;11891;11891;11891;11891;11891;11891;11898;11897;11890;11890
S2TS-AFL-034;S2TS-AFL-034;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11901;11903;11900;11900;11900;11900;11900;11900;11900;11900;11900;11907;11906;11899;11899
S2TS-AFL-035;S2TS-AFL-035;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11910;11912;11909;11909;11909;11909;11909;11909;11909;11909;11909;11916;11915;11908;11908
S2TS-AFL-036;S2TS-AFL-036;CT07_PLC_E;10.133.50.37;28047;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11919;11921;11918;11918;11918;11918;11918;11918;11918;11918;11918;11925;11924;11917;11917
