PLC_name;PLC_host;PLC_port(i);device_name
CT02_PLC_G;10.133.50.37;28014;Ilumination_CT02
CT03_PLC_G;10.133.50.37;28021;Ilumination_CT03
CT04_PLC_G;10.133.50.37;28028;Ilumination_CT04
CT05_PLC_G;10.133.50.37;28035;Ilumination_CT05
CT06_PLC_G;10.133.50.37;28042;Ilumination_CT06
CT07_PLC_G;10.133.50.37;28049;Ilumination_CT07
CT08_PLC_G;10.133.50.37;28056;Ilumination_CT08
