device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
S1TS-AFL-004;S1TS-AFL-004;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11802;11804;11801;11801;11801;11801;11801;11801;11801;11801;11801;11808;11807;11800;11800
S1TS-AFL-005;S1TS-AFL-005;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11811;11813;11810;11810;11810;11810;11810;11810;11810;11810;11810;11817;11816;11809;11809
S1TS-AFL-006;S1TS-AFL-006;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11820;11822;11819;11819;11819;11819;11819;11819;11819;11819;11819;11826;11825;11818;11818
S1TS-AFL-007;S1TS-AFL-007;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11829;11831;11828;11828;11828;11828;11828;11828;11828;11828;11828;11835;11834;11827;11827
S1TS-AFL-008;S1TS-AFL-008;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11838;11840;11837;11837;11837;11837;11837;11837;11837;11837;11837;11844;11843;11836;11836
S1TS-AFL-009;S1TS-AFL-009;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11847;11849;11846;11846;11846;11846;11846;11846;11846;11846;11846;11853;11852;11845;11845
SCNO-AFL-001;SCNO-AFL-001;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11856;11858;11855;11855;11855;11855;11855;11855;11855;11855;11855;11862;11861;11854;11854
SCNO-AFL-002;SCNO-AFL-002;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11865;11867;11864;11864;11864;11864;11864;11864;11864;11864;11864;11871;11870;11863;11863
SCNO-AFL-003;SCNO-AFL-003;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11874;11876;11873;11873;11873;11873;11873;11873;11873;11873;11873;11880;11879;11872;11872
SCNO-AFL-004;SCNO-AFL-004;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11883;11885;11882;11882;11882;11882;11882;11882;11882;11882;11882;11889;11888;11881;11881
SCNO-AFL-005;SCNO-AFL-005;CT02_PLC_E;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11892;11894;11891;11891;11891;11891;11891;11891;11891;11891;11891;11898;11897;11890;11890
