device_name;session_uid;host;PLC_name;PLC_port(i);url_publisher;write_permission;offset_pump_on(i);bit_pump_on(i);offset_engine_fail(i);bit_engine_fail(i);offset_pump_room(i);bit_pump_room(i)
1ES2-BCI-001-BBA1;1ES2-BCI-001-BBA1;10.133.50.37;CT04_PLC_F;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;21640;0;21608;3;21641;1
1ES2-BCI-001-BBA2;1ES2-BCI-001-BBA2;10.133.50.37;CT04_PLC_F;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;21640;1;21608;4;21641;2
CT04-BCI-001-BBA1;CT04-BCI-001-BBA1;10.133.50.37;CT04_PLC_F;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;0;21608;1;21601;1
CT04-BCI-001-BBA2;CT04-BCI-001-BBA2;10.133.50.37;CT04_PLC_F;28027;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;1;21608;2;21601;2
CT06-BCI-001-BBA1;CT06-BCI-001-BBA1;10.133.50.37;CT06_PLC_F;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;0;21608;2;21601;1
CT06-BCI-001-BBA2;CT06-BCI-001-BBA2;10.133.50.37;CT06_PLC_F;28041;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;1;21608;3;21601;2
CT07-BCI-001-BBA1;CT07-BCI-001-BBA1;10.133.50.37;CT07_PLC_F;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;0;21608;2;21601;1
CT07-BCI-001-BBA2;CT07-BCI-001-BBA2;10.133.50.37;CT07_PLC_F;28048;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;1;21608;3;21601;2
