device_name;session_uid;ct_upd;upd_state;plc_name;host;port(i);url_publisher;offset_state_prot(i);bit_state_prot(i);offset_cmd(i);offset_state(i)
AL.SE5.1-P1;AL.SE5.1-P1;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;0;22741;22736
AL.SE5.1-P2;AL.SE5.1-P2;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;1;22741;22736
AL.SE5.1-P3;AL.SE5.1-P3;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;2;22741;22736
AL.SE5.1-P4;AL.SE5.1-P4;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;3;22741;22736
AL.SE5.1-P5;AL.SE5.1-P5;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;4;22741;22736
AL.SE5.1-P6;AL.SE5.1-P6;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;5;22741;22736
AL.SE5.1-P7;AL.SE5.1-P7;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;6;22741;22736
AL.SE5.1-P8;AL.SE5.1-P8;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;7;22741;22736
AL.SE5.1-P9;AL.SE5.1-P9;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;8;22741;22736
AL.SE5.1-P10;AL.SE5.1-P10;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;9;22741;22736
AL.SE5.1-P11;AL.SE5.1-P11;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;10;22741;22736
AL.SE5.1-P12;AL.SE5.1-P12;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;11;22741;22736
AL.SE5.1-P13;AL.SE5.1-P13;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;12;22741;22736
AL.SE5.2-P1;AL.SE5.2-P1;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;13;22741;22736
AL.SE5.2-P2;AL.SE5.2-P2;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;14;22741;22736
AL.SE5.2-P3;AL.SE5.2-P3;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;15;22741;22736
AL.SE5.2-P4;AL.SE5.2-P4;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22739;0;22741;22736
AL.SE5.2-P5;AL.SE5.2-P5;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22739;1;22741;22736
AL.SE5.2-P6;AL.SE5.2-P6;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22739;2;22741;22736
AL.SE5.2-P7;AL.SE5.2-P7;PLC_CT05;upd_fail_ct05_2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22739;3;22741;22736
