device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_sos_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i);offset_vol_mic_reader(i);offset_sip(i);offset_vol_audio_reader(i);offset_test_audio_reader(i);offset_test_audio_writer(i);offset_last_day_test(i);offset_last_month_test(i);offset_last_year_test(i);offset_last_hour_test(i);offset_last_minute_test(i);offset_last_second_test(i);offset_sos_electronic_fail(i);offset_foghorn_state(i);offset_sip_register(i);offset_vol_audio_writer(i);offset_vol_mic_writer(i);offset_test_llamada(i)
ICEP-SOS-001;ICEP-SOS-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_A;10.133.50.37;28001;monitor;;10000;10000;10000;10002;10000;10003;10000;10015;10004;10005;10006;10007;10008;10009;10001;10000;10000;10014;10013;10016
S1TS-SOS-001;S1TS-SOS-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_A;10.133.50.37;28001;monitor;;10017;10017;10017;10019;10017;10020;10017;10032;10021;10022;10023;10024;10025;10026;10018;10017;10017;10031;10030;10033
ICEO-SOS-001;ICEO-SOS-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_A;10.133.50.37;28001;monitor;;10034;10034;10034;10036;10034;10037;10034;10049;10038;10039;10040;10041;10042;10043;10035;10034;10034;10048;10047;10050
IVEN-SOS-001;IVEN-SOS-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT01_PLC_A;10.133.50.37;28001;monitor;;10051;10051;10051;10053;10051;10054;10051;10066;10055;10056;10057;10058;10059;10060;10052;10051;10051;10065;10064;10067
