device_name;session-uid;GE_name;host;port(i);url_publisher;offset_grp_power_factor(i);offset_grp_vol_gen_L1_L2(i);offset_grp_vol_gen_L2_L3(i);offset_grp_vol_gen_L3_L1(i);offset_grp_corriente_fase_1(i);offset_grp_corriente_fase_2(i);offset_grp_corriente_fase_3(i);offset_grp_kw_generador(i);offset_grp_rpm_generador(i);offset_grp_kva_generador(i);offset_grp_consumo_combustible_motor(i);offset_grp_carga_ge(i);offset_grp_frecuencia_salida(i);offset_grp_neutral_current(i);offset_grp_temp_aceite(i);offset_grp_presion_aceite(i);offset_grp_temp_refrigerante(i);offset_grp_conm_open_trans(i);offset_grp_start(i);offset_grp_conm_open_ge(i);offset_low_lvl_critical(i);offset_grp_reset_engine(i);offset_grp_no_reset_engine(i);offset_grp_start_ready(i);offset_grp_emerg_stop(i)
CT04-GE-001;CT04-GE-001;CT04-GE-001;10.26.114.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
CT01-GE-001;CT01-GE-001;CT01-GE-001;10.26.111.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
CT02-GE-001;CT02-GE-001;CT02-GE-001;10.26.112.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
CT03-GE-001;CT03-GE-001;CT03-GE-001;10.26.113.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
CT05-GE-001;CT05-GE-001;CT05-GE-001;10.26.115.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
CT06-GE-001;CT06-GE-001;CT06-GE-001;10.26.116.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
CT07-GE-001;CT07-GE-001;CT07-GE-001;10.26.117.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
CT08-GE-001;CT08-GE-001;CT08-GE-001;10.26.118.7;502;http://10.133.50.38:3001/api/v2/generic/;1032;1040;1041;1042;1043;1044;1045;1020;1004;1028;1005;1010;1036;1046;1011;1008;1006;0;1;2;4;16;17;18;65
