device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_wind_speed(i);offset_sensor_out_of_range(i);offset_wind_direction(i);offset_broken_thread_sensor(i)
S2TS-ANE-007;S2TS-ANE-007;CT07_PLC_D;10.133.50.37;28046;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15503;15501;15500;15501
S2TN-ANE-008;S2TN-ANE-008;CT07_PLC_D;10.133.50.37;28046;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15522;15520;15519;15520
