device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
AL.SE7.1-S1;AL.SE7.1-S1;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE7.1-P1;AL.SE7.1-P1;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.1-P2;AL.SE7.1-P2;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.1-P3;AL.SE7.1-P3;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.1-P4;AL.SE7.1-P4;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.1-P5;AL.SE7.1-P5;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.1-P6;AL.SE7.1-P6;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.1-P7;AL.SE7.1-P7;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P1;AL.SE7.2-P1;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P2;AL.SE7.2-P2;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P3;AL.SE7.2-P3;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P4;AL.SE7.2-P4;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P5;AL.SE7.2-P5;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P6;AL.SE7.2-P6;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P7;AL.SE7.2-P7;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE7.2-P8;AL.SE7.2-P8;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
CT07-EMR-001;CT07-EMR-001;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
CT07-EMR-002;CT07-EMR-002;CT07_PLC_G;10.133.50.37;28049;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
