device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_device_error(i);bit_device_error(i);offset_fail_comms(i);bit_fail_comms(i);offset_fibre_break(i);bit_fibre_break(i);offset_measurement_inactive(i);bit_measurement_inactive(i);offset_measurement_stopped(i);bit_measurement_stopped(i);offset_system_fault(i);bit_system_fault(i);offset_ack_state(i);bit_ack_state(i);offset_reset_state(i);bit_reset_state(i);offset_test_mode_activated(i);bit_test_mode_activated(i);offset_configuration_error(i);bit_configuration_error(i);offset_measurement_error(i);bit_measurement_error(i);offset_device_error_support(i);bit_device_error_support(i);offset_environment_conditions_error(i);bit_environment_conditions_error(i);offset_handling_error(i);bit_handling_error(i);offset_reset_writer(i);offset_ack_writer(i)
CT06_FIRE_CONTROL_FL4;CT06_FIRE_CONTROL_FL4;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13726;6;13726;0;13726;3;13726;10;13726;9;13726;1;13725;0;13725;1;13725;2;13726;2;13726;4;13726;5;13726;7;13726;8;13723;13724
CT06_FIRE_CONTROL_FL3;CT06_FIRE_CONTROL_FL3;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13726;6;13726;0;13726;3;13726;10;13726;9;13726;1;13725;0;13725;1;13725;2;13726;2;13726;4;13726;5;13726;7;13726;8;14248;14249
