PLC_name;PLC_host;PLC_port(i);device_name;offset_Deshabilitar(i);offset_Habilitar_forzado(i);offset_Valor_forzado(i)
CT01_PLC_H;10.133.50.37;28057;S1TS-LUM-001;15705;15706;15707
CT05_PLC_H;10.133.50.37;28061;INKP-LUM-001;15705;15706;15707
CT05_PLC_H;10.133.50.37;28061;IVIP-LUM-001;15718;15719;15720
CT06_PLC_H;10.133.50.37;28062;IPRO-LUM-001;15705;15706;15707
CT07_PLC_H;10.133.50.37;28063;ICCO-LUM-001;15705;15706;15707
CT08_PLC_H;10.133.50.37;28064;ICCP-LUM-001;15705;15706;15707
CT08_PLC_H;10.133.50.37;28064;IBTO-LUM-001;15718;15719;15720
