device_name;session_uid;ct_upd;upd_state;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i)
ICCP-BIE-002;ICCP-BIE-002;PLC_CT08;upd_fail_iccp_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22801;22801;22801
ICCP-BIE-004;ICCP-BIE-004;PLC_CT08;upd_fail_iccp_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22811;22811;22811
IBTO-BIE-002;IBTO-BIE-002;PLC_CT08;upd_fail_ibto;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22821;22821;22821
S2TS-BIE-078;S2TS-BIE-078;PLC_CT08;upd_fail_s2ts_39;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22831;22831;22831
S2TS-BIE-080;S2TS-BIE-080;PLC_CT08;upd_fail_s2ts_40;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22841;22841;22841
S2TN-BIE-078;S2TN-BIE-078;PLC_CT08;upd_fail_2e22;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22851;22851;22851
S2TN-BIE-080;S2TN-BIE-080;PLC_CT08;upd_fail_2e22;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22861;22861;22861
S2TS-BIE-082;S2TS-BIE-082;PLC_CT08;upd_fail_2e24_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22871;22871;22871
S2TS-BIE-084;S2TS-BIE-084;PLC_CT08;upd_fail_2e24_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22881;22881;22881
S2TN-BIE-082;S2TN-BIE-082;PLC_CT08;upd_fail_2e24;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22891;22891;22891
S2TN-BIE-084;S2TN-BIE-084;PLC_CT08;upd_fail_2e24;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22901;22901;22901
S2TN-BIE-086;S2TN-BIE-086;PLC_CT08;upd_fail_2e25;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22911;22911;22911
S2TS-BIE-086;S2TS-BIE-086;PLC_CT08;upd_fail_2e25_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22921;22921;22921
S2TN-BIE-090;S2TN-BIE-090;PLC_CT08;upd_fail_s2tn_5;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22931;22931;22931
S2TS-BIE-092;S2TS-BIE-092;PLC_CT08;upd_fail_2e28_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22941;22941;22941
S2TS-BIE-094;S2TS-BIE-094;PLC_CT08;upd_fail_2e28_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22951;22951;22951
SBTP-BIE-002;SBTP-BIE-002;PLC_CT08;upd_fail_sbtp;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22961;22961;22961
S2TS-BIE-096;S2TS-BIE-096;PLC_CT08;upd_fail_2e29_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22971;22971;22971
S2TN-BIE-096;S2TN-BIE-096;PLC_CT08;upd_fail_2e29;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22981;22981;22981
SBTP-BIE-004;SBTP-BIE-004;PLC_CT08;upd_fail_sbtp;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;22991;22991;22991
S2TS-BIE-098;S2TS-BIE-098;PLC_CT08;upd_fail_2e29_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23001;23001;23001
S2TN-BIE-098;S2TN-BIE-098;PLC_CT08;upd_fail_2e29;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23011;23011;23011
SBTP-BIE-006;SBTP-BIE-006;PLC_CT08;upd_fail_sbtp;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23021;23021;23021
S2TN-BIE-088;S2TN-BIE-088;PLC_CT08;upd_fail_s2tn_7;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23031;23031;23031
S2TS-BIE-090;S2TS-BIE-090;PLC_CT08;upd_fail_s2ts_45;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23041;23041;23041
S2TN-BIE-092;S2TN-BIE-092;PLC_CT08;upd_fail_2e28;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23051;23051;23051
S2TN-BIE-094;S2TN-BIE-094;PLC_CT08;upd_fail_2e28;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23061;23061;23061
S2TS-BIE-088;S2TS-BIE-088;PLC_CT08;upd_fail_2e25_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23071;23071;23071
IBTO-BIE-004;IBTO-BIE-004;PLC_CT08;upd_fail_ibto;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT08_PLC_B;10.133.50.37;28051;monitor;;23081;23081;23081
