device_name;equip_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_opac_concentration(i);offset_opac_out_of_range(i);offset_opac_broken_thread(i);offset_equipment_fail(i);offset_temperature_out_of_range(i);offset_temperature_broken_thread(i)
S2TN-SAM-OP-006;S2TN-SAM-006;S2TN-SAM-OP-006;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15003;15001;15001;15001;15001;15001
S2TS-SAM-OP-005;S2TS-SAM-005;S2TS-SAM-OP-005;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15043;15041;15041;15041;15041;15041
S2TN-SAM-OP-007;S2TN-SAM-007;S2TN-SAM-OP-007;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15083;15081;15081;15081;15081;15081
S2TS-SAM-OP-006;S2TS-SAM-006;S2TS-SAM-OP-006;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15123;15121;15121;15121;15121;15121
